municipio_ibge,soma,contagem
3125101,3000.0,1
3127107,6000.0,1
3127388,4200.0,1
3127602,1200.0,1
3127701,32400.0,9
3127800,600.0,1
3129806,15000.0,5
3130408,4200.0,1
3130507,3600.0,1
3131703,4200.0,1
3133006,3000.0,1
3133808,3000.0,1
3133907,8400.0,1
3134202,3900.0,2
3134707,11400.0,5
3135803,3000.0,1
3136306,3000.0,1
3136702,22200.0,9
3137205,1200.0,1
3138203,1200.0,1
3139607,3000.0,1
3142007,4200.0,1
3143302,34200.0,12
3143401,3000.0,1
3143906,8700.0,3
3145208,3000.0,1
3145307,3300.0,1
3146107,1200.0,1
3146255,3000.0,1
3147402,7200.0,2
3147709,1800.0,1
3147907,300.0,1
3148004,3000.0,1
3151206,1200.0,1
3151800,4200.0,2
3152105,1500.0,1
3152501,6000.0,2
3152808,600.0,1
3154606,15600.0,5
3155306,3000.0,1
3156700,600.0,1
3157807,11400.0,4
3157906,3000.0,1
3158201,1200.0,1
3160702,4200.0,1
3161106,7200.0,2
3161502,6000.0,1
3161809,3000.0,1
3162807,1200.0,1
3162955,3000.0,1
3163706,4200.0,1
3167103,4200.0,1
3167608,4200.0,1
3168606,3000.0,1
3169901,1200.0,1
3170107,2400.0,1
3170206,10800.0,5
3170404,1800.0,1
3171204,8400.0,2
3171709,3000.0,1
3171808,4800.0,1
3172004,8400.0,2
3201308,7200.0,3
3201506,6000.0,2
3202405,5100.0,2
3202603,7200.0,1
3203056,4200.0,1
3203205,4200.0,1
3204203,3000.0,1
3204906,3300.0,1
3205002,27900.0,8
3205010,8400.0,2
3205200,12000.0,4
3205309,12000.0,4
3300100,3000.0,2
3300159,4800.0,1
3300209,3000.0,1
3300456,6000.0,2
3300704,7200.0,4
3301009,4200.0,1
3301157,6000.0,1
3301702,21300.0,6
3301850,1200.0,1
3301900,7200.0,2
3302270,3000.0,1
3302403,6000.0,2
3302502,3300.0,2
3303302,3600.0,1
3303500,18600.0,6
3303807,1200.0,1
3303906,4800.0,2
3304557,101100.0,32
3304607,3000.0,1
3304805,600.0,1
3304904,5700.0,2
3305109,900.0,1
3305208,6000.0,2
3305505,3000.0,1
3305554,4200.0,1
3306305,10800.0,4
3502200,4200.0,1
3502705,3000.0,1
3502754,3000.0,1
3502804,3000.0,1
3503208,1200.0,1
3503307,4200.0,1
3503802,4200.0,1
3503901,600.0,1
3505104,7200.0,1
3505302,600.0,1
3505500,2400.0,1
3505708,3000.0,1
3505906,3600.0,1
3506003,4800.0,2
3506508,3000.0,1
3506706,2400.0,1
3507001,3000.0,1
3507506,3000.0,1
3507605,8700.0,2
3508009,1200.0,1
3508405,1800.0,1
3509205,1200.0,1
3509502,11100.0,8
3509601,1200.0,1
3509809,3000.0,1
3510203,3000.0,1
3510500,7200.0,2
3510609,3900.0,1
3511102,9000.0,3
3512407,3000.0,1
3513009,6000.0,2
3513801,9000.0,3
3515004,3000.0,1
3515152,1200.0,1
3515707,1800.0,1
3516200,3000.0,4
3517703,3000.0,1
3518305,5400.0,2
3518701,2700.0,2
3518800,15600.0,7
3519071,3000.0,1
3519402,2400.0,1
3519600,6000.0,2
3520004,6000.0,2
3520301,3000.0,1
3520400,3000.0,1
3520426,2400.0,1
3520509,3000.0,1
3520905,2400.0,1
3522109,900.0,1
3522158,3000.0,1
3522406,12900.0,6
3522604,4200.0,1
3523107,6000.0,2
3524402,1200.0,1
3524600,4200.0,1
3524709,4200.0,1
3525706,1200.0,1
3528858,1800.0,1
3529302,6000.0,1
3529401,4800.0,1
3530607,42600.0,13
3532801,4800.0,1
3532827,6600.0,2
3534401,900.0,2
3534708,2400.0,1
3535408,3300.0,1
3536307,3000.0,1
3537602,4200.0,1
3538006,3000.0,1
3538709,6000.0,2
3539301,5100.0,4
3541000,15300.0,9
3541505,1200.0,1
3542602,6000.0,2
3543006,8100.0,2
3543402,23400.0,9
3543907,6000.0,2
3544905,3000.0,1
3545407,1800.0,1
3547304,600.0,1
3547809,9000.0,3
3548500,7200.0,2
3548708,11400.0,3
3548906,3000.0,1
3549904,9900.0,4
