date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,2314102,2,26,0.07692307692307693
2019-01-01,2401107,1,20,0.05
2019-01-01,2402006,2,44,0.045454545454545456
2019-01-01,2403251,2,122,0.01639344262295082
2019-01-01,2405603,1,9,0.1111111111111111
2019-01-01,2405801,1,22,0.045454545454545456
2019-01-01,2408003,1,133,0.007518796992481203
2019-01-01,2408102,2,470,0.00425531914893617
2019-01-01,2408201,1,11,0.09090909090909091
2019-01-01,2408805,1,5,0.2
2019-01-01,2411007,1,6,0.16666666666666666
2019-01-01,2412005,1,44,0.022727272727272728
2019-01-01,2412203,1,22,0.045454545454545456
2019-01-01,2412500,1,15,0.06666666666666667
2019-01-01,2413607,1,4,0.25
2019-01-01,2501500,1,16,0.0625
2019-01-01,2502201,1,4,0.25
2019-01-01,2503704,2,33,0.06060606060606061
2019-01-01,2504306,1,17,0.058823529411764705
2019-01-01,2507002,1,11,0.09090909090909091
2019-01-01,2507200,1,4,0.25
2019-01-01,2507507,4,415,0.00963855421686747
2019-01-01,2508901,1,19,0.05263157894736842
2019-01-01,2509156,1,6,0.16666666666666666
2019-01-01,2509206,1,10,0.1
2019-01-01,2510303,1,2,0.5
2019-01-01,2511103,1,6,0.16666666666666666
2019-01-01,2511202,2,18,0.1111111111111111
2019-01-01,2511400,1,8,0.125
2019-01-01,2512002,1,9,0.1111111111111111
2019-01-01,2514404,1,1,1.0
2019-01-01,2514503,1,18,0.05555555555555555
2019-01-01,2515005,1,7,0.14285714285714285
2019-01-01,2515500,1,13,0.07692307692307693
2019-01-01,2515708,1,4,0.25
2019-01-01,2600203,1,11,0.09090909090909091
2019-01-01,2600807,1,12,0.08333333333333333
2019-01-01,2601102,1,41,0.024390243902439025
2019-01-01,2601607,1,13,0.07692307692307693
2019-01-01,2602704,1,10,0.1
2019-01-01,2602902,1,104,0.009615384615384616
2019-01-01,2603454,1,83,0.012048192771084338
2019-01-01,2603900,1,10,0.1
2019-01-01,2604007,1,55,0.01818181818181818
2019-01-01,2605400,1,15,0.06666666666666667
2019-01-01,2605707,1,23,0.043478260869565216
2019-01-01,2606408,1,57,0.017543859649122806
2019-01-01,2607307,1,8,0.125
2019-01-01,2607505,1,17,0.058823529411764705
2019-01-01,2607901,2,333,0.006006006006006006
2019-01-01,2608057,1,7,0.14285714285714285
2019-01-01,2608909,1,34,0.029411764705882353
2019-01-01,2609501,1,20,0.05
2019-01-01,2609600,1,242,0.004132231404958678
2019-01-01,2610202,1,20,0.05
2019-01-01,2610400,1,6,0.16666666666666666
2019-01-01,2611101,2,137,0.014598540145985401
2019-01-01,2611606,4,927,0.004314994606256742
2019-01-01,2611804,1,23,0.043478260869565216
2019-01-01,2612208,1,38,0.02631578947368421
2019-01-01,2612505,1,26,0.038461538461538464
2019-01-01,2613107,1,23,0.043478260869565216
2019-01-01,2613503,1,15,0.06666666666666667
2019-01-01,2615201,1,8,0.125
2019-01-01,2615300,1,40,0.025
2019-01-01,2616001,1,11,0.09090909090909091
2019-01-01,2616209,1,14,0.07142857142857142
2019-01-01,2700300,1,124,0.008064516129032258
2019-01-01,2701209,1,7,0.14285714285714285
2019-01-01,2703403,1,5,0.2
2019-01-01,2704302,3,505,0.005940594059405941
2019-01-01,2704609,1,3,0.3333333333333333
2019-01-01,2706505,1,7,0.14285714285714285
2019-01-01,2709400,1,16,0.0625
2019-01-01,2800506,1,9,0.1111111111111111
2019-01-01,2801207,1,11,0.09090909090909091
2019-01-01,2801405,1,12,0.08333333333333333
2019-01-01,2801504,1,6,0.16666666666666666
2019-01-01,2802908,1,54,0.018518518518518517
2019-01-01,2803500,1,57,0.017543859649122806
2019-01-01,2804508,1,9,0.1111111111111111
2019-01-01,2805000,1,3,0.3333333333333333
2019-01-01,2805802,1,12,0.08333333333333333
2019-01-01,2806503,1,3,0.3333333333333333
2019-01-01,2807204,1,5,0.2
2019-01-01,2900504,1,7,0.14285714285714285
2019-01-01,2900702,1,84,0.011904761904761904
2019-01-01,2901205,1,10,0.1
2019-01-01,2902054,1,9,0.1111111111111111
2019-01-01,2902708,1,19,0.05263157894736842
2019-01-01,2903201,1,65,0.015384615384615385
2019-01-01,2903276,1,8,0.125
2019-01-01,2903904,1,29,0.034482758620689655
2019-01-01,2904407,1,4,0.25
2019-01-01,2906006,2,49,0.04081632653061224
2019-01-01,2906204,1,15,0.06666666666666667
2019-01-01,2906600,1,5,0.2
