municipio_ibge,soma,contagem
1100015,26400.0,9
1100023,157800.0,51
1100031,12000.0,4
1100049,100370.0,35
1100056,25200.0,9
1100064,22200.0,8
1100072,18000.0,6
1100080,27000.0,9
1100098,24000.0,8
1100106,84000.0,28
1100114,97200.0,32
1100122,197700.0,69
1100130,48600.0,17
1100148,21000.0,7
1100155,72000.0,25
1100189,9000.0,3
1100205,1124400.0,379
1100254,57000.0,19
1100262,3000.0,1
1100288,44400.0,16
1100296,6000.0,2
1100304,118200.0,40
1100320,27000.0,9
1100338,43800.0,15
1100346,28800.0,10
1100379,12000.0,4
1100403,42000.0,14
1100452,56700.0,21
1100502,6000.0,2
1100601,12000.0,4
1100700,30000.0,10
1100809,147300.0,51
1100908,6000.0,2
1100924,5400.0,2
1100940,21000.0,7
1101005,20400.0,7
1101104,18000.0,6
1101203,24000.0,8
1101302,24000.0,8
1101401,9600.0,4
1101435,15000.0,5
1101468,9000.0,3
1101484,6000.0,2
1101492,22800.0,8
1101500,35400.0,12
1101559,6000.0,2
1101609,19200.0,7
1101708,9000.0,3
1101757,12000.0,4
1101807,9000.0,3
1200013,27000.0,9
1200054,30000.0,10
1200104,49800.0,17
1200138,48000.0,16
1200179,51000.0,17
1200203,275100.0,93
1200252,20400.0,8
1200302,59400.0,21
1200328,18000.0,6
1200336,42000.0,14
1200344,30000.0,10
1200351,51000.0,17
1200385,37500.0,14
1200393,21000.0,7
1200401,542684.0,182
1200427,5400.0,3
1200435,11400.0,4
1200450,134400.0,46
1200500,103200.0,35
1200609,143400.0,48
1200708,27000.0,9
1200807,69000.0,23
1300029,31800.0,12
1300060,20400.0,8
1300086,27000.0,9
1300102,44400.0,15
1300144,10200.0,4
1300201,11400.0,4
1300300,295800.0,99
1300409,17400.0,8
1300508,63000.0,23
1300607,75000.0,26
1300631,148200.0,52
1300680,61200.0,21
1300706,63600.0,23
1300805,13200.0,5
1300839,62400.0,21
1300904,78000.0,26
1301001,228000.0,77
1301100,69000.0,23
1301159,37200.0,13
1301209,181200.0,62
1301308,78000.0,26
1301407,230400.0,78
1301506,90000.0,32
1301605,103800.0,35
1301654,51600.0,18
1301704,184320.0,64
1301803,77400.0,27
1301852,360000.0,121
1301902,288600.0,97
1301951,70800.0,24
1302009,36000.0,12
1302108,20400.0,8
1302207,57000.0,19
1302306,88200.0,31
1302405,208800.0,70
1302504,470400.0,159
1302553,12000.0,4
1302603,2813358.0,956
1302702,66000.0,23
1302801,63000.0,21
1302900,284400.0,98
1303007,57600.0,20
1303106,100200.0,34
1303205,39000.0,13
1303304,30600.0,11
1303403,454800.0,153
1303502,78000.0,29
1303536,147000.0,49
1303569,31200.0,11
1303601,20400.0,8
1303700,70800.0,24
1303809,55800.0,20
1303908,21000.0,7
1303957,36000.0,12
1304005,76200.0,26
1304062,141600.0,50
1304104,18000.0,6
1304203,339300.0,116
1304237,109200.0,37
1304260,24000.0,8
1304302,84600.0,29
1304401,46200.0,16
1400027,36000.0,12
1400050,39000.0,13
1400100,951255.0,318
1400159,105000.0,37
1400175,77400.0,27
1400209,129000.0,43
1400233,42000.0,14
1400282,25200.0,9
1400308,129000.0,43
1400407,13800.0,5
1400456,27000.0,9
1400472,56700.0,20
1400506,6000.0,2
1400605,18000.0,6
1400704,9000.0,3
1500107,465600.0,158
1500131,20400.0,7
1500206,185079.0,62
1500305,87000.0,29
1500347,28200.0,10
1500404,459600.0,154
1500503,87000.0,29
1500602,249600.0,84
1500701,115500.0,40
1500800,1593900.0,546
1500859,156000.0,52
1500909,46200.0,16
1500958,18000.0,6
1501006,3000.0,1
1501105,144451.0,49
1501204,178200.0,61
1501253,3000.0,1
1501303,235800.0,81
1501402,3996752.0,1353
1501451,42000.0,14
1501501,181800.0,62
1501576,34800.0,12
1501600,30600.0,11
1501709,264000.0,88
1501725,75600.0,26
1501758,18000.0,6
1501782,88200.0,30
1501808,644979.0,221
1501907,48000.0,16
1501956,33000.0,11
1502004,51300.0,18
1502103,486000.0,162
1502152,130200.0,44
1502202,75600.0,24
1502301,84600.0,29
1502400,297300.0,103
1502509,30600.0,11
1502608,13200.0,5
1502707,90000.0,30
1502756,59400.0,20
1502764,25200.0,9
1502772,55800.0,19
1502806,60600.0,20
1502855,9000.0,3
1502905,85020.0,29
1502939,45000.0,15
1502954,73200.0,25
1503002,41400.0,14
1503044,34200.0,12
1503077,84000.0,28
1503093,45000.0,15
1503101,150000.0,51
1503200,99000.0,33
1503309,189600.0,64
1503408,3000.0,1
1503457,33000.0,11
1503507,124200.0,42
1503606,303600.0,103
1503705,58200.0,19
1503754,11400.0,5
1503804,70200.0,24
1503903,33600.0,12
1504000,49800.0,17
1504059,99000.0,33
1504109,9000.0,3
1504208,486000.0,163
1504307,102000.0,34
1504406,33000.0,11
1504422,383700.0,129
1504455,44400.0,15
1504505,75600.0,26
1504604,76200.0,26
1504703,281400.0,94
1504752,61800.0,21
1504802,127200.0,43
1504901,40200.0,14
1504950,111000.0,37
1504976,18000.0,6
1505007,20400.0,7
1505031,67200.0,25
1505064,133800.0,46
1505106,57000.0,19
1505205,60000.0,20
1505304,63600.0,22
1505403,42000.0,14
1505437,91200.0,31
1505486,54600.0,19
1505494,24000.0,8
1505502,187500.0,65
1505536,330600.0,111
1505551,9000.0,3
1505601,9000.0,3
1505635,32400.0,11
1505650,12000.0,4
1505700,48700.0,18
1505809,88800.0,30
1505908,112200.0,38
1506005,156000.0,52
1506104,27000.0,9
1506112,27600.0,10
1506138,110400.0,38
1506161,30000.0,10
1506187,51000.0,17
1506195,31200.0,10
1506203,46800.0,16
1506302,48000.0,16
1506351,31200.0,11
1506401,10800.0,4
1506500,110251.0,37
1506559,61800.0,21
1506583,20400.0,7
1506609,30000.0,10
1506708,20400.0,7
1506807,988200.0,334
1506906,165000.0,57
1507003,46200.0,16
1507102,9000.0,3
1507151,46800.0,16
1507201,42000.0,14
1507300,118800.0,42
1507409,38400.0,13
1507458,37800.0,13
1507466,21000.0,7
1507474,48000.0,16
1507508,24000.0,8
1507607,111000.0,37
1507706,45000.0,15
1507805,57600.0,20
1507904,36382.0,13
1507953,163800.0,55
1507961,72000.0,24
1507979,37200.0,13
1508001,168000.0,56
1508035,33000.0,12
1508050,10800.0,4
1508084,82800.0,28
1508100,323400.0,108
1508126,27000.0,9
1508159,63000.0,20
1508209,193200.0,64
1508308,108600.0,37
1508357,3000.0,1
1508407,66000.0,22
1600055,27000.0,9
1600105,18000.0,6
1600154,78000.0,26
1600204,46200.0,16
1600212,6000.0,2
1600238,21000.0,7
1600253,19800.0,7
1600279,204600.0,69
1600303,2195400.0,735
1600402,119400.0,40
1600501,99600.0,34
1600535,113400.0,39
1600550,12000.0,4
1600600,474300.0,160
1600709,26400.0,9
1600808,103800.0,35
1700251,6000.0,2
1700301,9000.0,3
1700350,3000.0,1
1700400,21000.0,7
1700707,27000.0,9
1701002,24000.0,8
1701101,3000.0,1
1701309,7200.0,3
1701903,3000.0,1
1702000,18000.0,6
1702109,313800.0,105
1702158,6000.0,2
1702208,36000.0,12
1702307,15000.0,5
1702406,3000.0,1
1702554,25800.0,9
1702901,18000.0,6
1703008,9000.0,3
1703057,3000.0,1
1703073,9000.0,3
1703107,6000.0,2
1703206,6000.0,2
1703305,11400.0,4
1703602,2400.0,1
1703701,6000.0,2
1703800,12000.0,4
1703842,18000.0,6
1703891,6000.0,2
1703909,21000.0,7
1704105,3000.0,1
1704600,3000.0,1
1705102,6000.0,2
1705508,48000.0,16
1705557,9000.0,3
1705607,9000.0,3
1706100,7800.0,3
1706506,15000.0,5
1707009,18000.0,6
1707108,6000.0,2
1707207,10200.0,4
1707306,9000.0,3
1707405,12300.0,5
1707652,6000.0,2
1707702,15000.0,5
1708205,15000.0,5
1708254,3000.0,1
1708304,3000.0,1
1709005,9000.0,3
1709302,30000.0,10
1709500,120000.0,39
1709807,4800.0,2
1710508,1200.0,1
1710706,9000.0,3
1710904,15000.0,5
1711100,3000.0,1
1711506,6000.0,2
1711902,6000.0,2
1711951,15000.0,5
1712009,6000.0,2
1712504,18000.0,6
1712702,3000.0,1
1713205,23400.0,8
1713304,12000.0,4
1713601,2400.0,1
1713700,9000.0,3
1713957,12000.0,4
1714203,15000.0,5
1714302,6000.0,2
1714880,18000.0,6
1715002,15000.0,5
1715259,9000.0,3
1715705,9000.0,3
1715754,6000.0,2
1716109,60000.0,20
1716208,11400.0,4
1716307,3000.0,1
1716505,18000.0,6
1716604,21000.0,7
1716653,5400.0,2
1716703,20400.0,7
1717503,6000.0,2
1717800,3000.0,1
1717909,24000.0,8
1718006,3000.0,1
1718204,105000.0,35
1718303,9000.0,3
1718402,3000.0,1
1718550,3000.0,1
1718659,3000.0,1
1718709,8400.0,3
1718758,6000.0,2
1718808,6000.0,2
1718840,6000.0,2
1718865,9000.0,3
1718907,6000.0,2
1719004,6000.0,2
1720002,3000.0,1
1720101,12000.0,4
1720150,3000.0,1
1720200,3000.0,1
1720309,7200.0,2
1720499,4800.0,2
1720655,9000.0,3
1720804,9000.0,3
1720903,21000.0,7
1720937,3000.0,1
1720978,9000.0,3
1721000,781594.0,264
1721109,10800.0,4
1721208,25800.0,9
1721257,3000.0,1
1721307,12000.0,4
1722081,12000.0,4
1722107,24000.0,8
2100055,122100.0,42
2100105,19800.0,7
2100154,18000.0,6
2100204,32400.0,11
2100303,14400.0,5
2100402,15000.0,5
2100436,34800.0,12
2100477,26400.0,9
2100501,15000.0,5
2100550,15000.0,5
2100600,39000.0,13
2100709,22487.0,8
2100808,61800.0,21
2100832,26400.0,9
2100873,7200.0,3
2100907,54000.0,19
2100956,37800.0,13
2101004,48600.0,17
2101103,25800.0,10
2101202,116400.0,39
2101251,42000.0,14
2101301,28200.0,10
2101350,9000.0,3
2101400,108600.0,37
2101509,15000.0,5
2101608,168000.0,56
2101707,149400.0,50
2101731,10200.0,4
2101772,42000.0,14
2101806,3000.0,1
2101905,6000.0,2
2101939,9000.0,3
2101970,35400.0,12
2102002,48000.0,16
2102036,51000.0,17
2102077,55800.0,19
2102101,50400.0,18
2102150,19800.0,7
2102200,28800.0,10
2102309,21000.0,7
2102325,65400.0,22
2102358,22800.0,8
2102374,19200.0,7
2102507,50400.0,17
2102556,18000.0,6
2102606,60000.0,20
2102705,21000.0,7
2102754,45000.0,15
2102804,48000.0,16
2102903,108000.0,36
2103000,219000.0,74
2103109,12000.0,4
2103125,26400.0,9
2103158,25800.0,9
2103174,15000.0,5
2103208,192000.0,65
2103257,42000.0,14
2103307,267600.0,90
2103406,57000.0,19
2103505,27000.0,9
2103554,34200.0,12
2103604,82800.0,28
2103703,154200.0,52
2103752,18600.0,7
2103802,27000.0,9
2103901,12000.0,4
2104008,37800.0,13
2104057,44400.0,15
2104073,9000.0,3
2104081,15000.0,5
2104099,3000.0,1
2104107,27000.0,9
2104206,18000.0,6
2104305,13200.0,5
2104404,12000.0,4
2104503,22800.0,8
2104552,18000.0,6
2104602,3000.0,1
2104628,15000.0,5
2104651,9000.0,3
2104677,51846.0,18
2104701,6000.0,2
2104800,157800.0,53
2104909,15000.0,5
2105005,28200.0,10
2105104,48000.0,16
2105153,34800.0,12
2105203,24000.0,8
2105302,630000.0,214
2105351,24000.0,8
2105401,93900.0,31
2105427,67200.0,23
2105450,6000.0,2
2105476,9000.0,3
2105500,98400.0,33
2105609,12000.0,4
2105658,18000.0,6
2105708,49800.0,17
2105807,30000.0,10
2105906,63000.0,21
2105922,24000.0,8
2105948,18000.0,6
2105963,3000.0,1
2105989,3000.0,1
2106003,3000.0,1
2106102,15000.0,5
2106201,29400.0,10
2106300,6000.0,2
2106326,12000.0,4
2106359,3000.0,1
2106375,3000.0,1
2106409,42000.0,15
2106508,110400.0,37
2106607,72600.0,25
2106631,9000.0,3
2106672,1200.0,1
2106706,28200.0,10
2106755,30000.0,10
2106805,75000.0,26
2106904,32400.0,11
2107001,29400.0,10
2107100,66000.0,22
2107209,9000.0,3
2107258,3000.0,1
2107308,9000.0,3
2107357,3000.0,1
2107407,63000.0,21
2107456,42000.0,14
2107506,226505.0,77
2107605,66600.0,23
2107704,67200.0,23
2107803,18000.0,6
2107902,12000.0,4
2108009,42000.0,14
2108058,35400.0,13
2108108,20400.0,7
2108207,34200.0,12
2108256,53400.0,16
2108306,77400.0,26
2108405,9000.0,3
2108454,83400.0,28
2108504,17400.0,7
2108603,209700.0,74
2108702,72000.0,24
2108801,15000.0,5
2108900,36000.0,12
2109007,48000.0,16
2109056,21300.0,8
2109106,24000.0,8
2109205,16800.0,6
2109239,15000.0,5
2109270,33000.0,11
2109304,3000.0,1
2109403,57000.0,19
2109452,55200.0,19
2109502,28800.0,10
2109601,47400.0,17
2109700,3000.0,1
2109759,12000.0,4
2109809,87300.0,30
2109908,70200.0,24
2110005,114000.0,38
2110039,66000.0,22
2110104,45000.0,16
2110203,33902.0,12
2110237,3000.0,1
2110278,42000.0,14
2110302,30000.0,10
2110401,42000.0,14
2110500,51000.0,17
2110609,89400.0,30
2110658,45000.0,15
2110708,26400.0,9
2110807,6000.0,2
2110856,6000.0,2
2110906,12000.0,4
2111003,76800.0,26
2111029,37800.0,13
2111052,16800.0,6
2111078,17400.0,6
2111102,21000.0,7
2111201,620813.0,209
2111250,8400.0,3
2111300,1859100.0,641
2111409,33000.0,12
2111508,29400.0,10
2111532,6000.0,2
2111573,6000.0,2
2111607,24000.0,10
2111631,33600.0,12
2111672,9000.0,3
2111706,72600.0,25
2111722,11400.0,4
2111748,33000.0,11
2111763,20400.0,8
2111789,18000.0,6
2111805,15000.0,5
2111904,18000.0,6
2111953,21000.0,7
2112001,6000.0,2
2112100,45000.0,15
2112209,235200.0,79
2112233,24000.0,8
2112274,24000.0,8
2112308,13800.0,5
2112407,183000.0,62
2112456,106200.0,36
2112506,99000.0,33
2112605,114000.0,38
2112704,93000.0,31
2112803,121200.0,42
2112852,9000.0,3
2112902,73200.0,25
2113009,51000.0,17
2114007,36000.0,12
2200103,2400.0,1
2200202,3000.0,1
2200251,9000.0,3
2200277,3000.0,1
2200301,23400.0,8
2200400,33000.0,11
2200459,3000.0,1
2200509,41400.0,14
2200608,21000.0,7
2200707,18000.0,6
2200905,12000.0,4
2201051,3000.0,1
2201101,36000.0,13
2201150,24000.0,8
2201176,9000.0,3
2201200,127200.0,43
2201309,18000.0,6
2201408,12000.0,4
2201507,6000.0,2
2201556,3000.0,1
2201572,6000.0,2
2201606,7200.0,2
2201705,21000.0,7
2201739,6000.0,2
2201770,15000.0,5
2201903,132000.0,44
2201919,6000.0,2
2201929,6000.0,2
2201945,3000.0,1
2201960,7200.0,3
2201988,9000.0,3
2202000,24600.0,9
2202026,12000.0,4
2202059,7200.0,2
2202083,3000.0,1
2202109,12000.0,4
2202117,18000.0,6
2202133,15000.0,5
2202174,34994.0,11
2202208,20100.0,8
2202251,9000.0,3
2202307,24000.0,8
2202406,9000.0,3
2202455,15000.0,5
2202505,22800.0,8
2202554,33000.0,11
2202604,18000.0,6
2202653,6000.0,2
2202703,19200.0,6
2202711,3000.0,1
2202729,6000.0,2
2202737,6000.0,2
2202752,23400.0,8
2202778,15000.0,5
2202802,12000.0,4
2202851,18000.0,6
2202901,30000.0,10
2203107,42000.0,14
2203206,9000.0,3
2203230,9000.0,3
2203255,7200.0,2
2203305,21000.0,7
2203354,15000.0,5
2203404,12000.0,4
2203420,3000.0,1
2203453,37200.0,13
2203503,3000.0,1
2203602,300.0,1
2203701,48000.0,16
2203750,24000.0,8
2203800,3000.0,1
2203859,6000.0,2
2203909,67800.0,23
2204006,3000.0,1
2204204,9000.0,3
2204303,19200.0,7
2204352,6000.0,2
2204402,21000.0,7
2204501,27000.0,9
2204550,9000.0,3
2204600,3000.0,1
2204659,12000.0,4
2204709,8130.0,3
2204808,6000.0,2
2204907,21000.0,7
2205003,12000.0,4
2205102,12000.0,4
2205151,3000.0,1
2205201,18000.0,6
2205250,6000.0,2
2205276,12000.0,4
2205300,15000.0,5
2205359,3000.0,1
2205409,15000.0,5
2205458,6000.0,2
2205508,30000.0,10
2205516,3000.0,1
2205524,18000.0,6
2205532,36000.0,12
2205540,3000.0,1
2205557,27000.0,9
2205565,6000.0,2
2205573,3000.0,1
2205581,3000.0,1
2205599,3000.0,1
2205607,18000.0,6
2205706,41400.0,14
2205805,81000.0,27
2205854,3000.0,1
2205904,12000.0,4
2205953,21000.0,7
2206001,9000.0,3
2206050,6000.0,2
2206100,9600.0,4
2206209,57600.0,20
2206357,3000.0,1
2206407,12000.0,4
2206506,30000.0,10
2206605,12000.0,4
2206654,9000.0,3
2206670,6000.0,2
2206696,9000.0,3
2206704,9000.0,3
2206720,19200.0,6
2206753,6000.0,2
2206803,18000.0,6
2206902,1800.0,1
2206951,6000.0,2
2207009,30000.0,10
2207207,9000.0,3
2207306,7800.0,3
2207405,15300.0,6
