municipio_ibge,soma,contagem
2200202,2240.0,1
2200301,3300.0,1
2200400,16200.0,5
2200608,3000.0,1
2200707,2229.0,1
2201200,11395.0,5
2201507,14400.0,4
2201903,3600.0,1
2201945,8270.0,3
2202059,11131.0,4
2202075,1200.0,1
2202109,1644.0,1
2202208,4200.0,1
2202307,5400.0,2
2202406,4200.0,1
2202604,3600.0,1
2202737,1670.0,2
2203255,809.0,1
2203305,3300.0,2
2203404,1200.0,1
2203503,1063.0,1
2203701,9156.0,4
2204303,1054.0,2
2204709,4411.0,2
2204808,1070.0,1
2205458,8400.0,2
2205508,9300.0,4
2205532,3000.0,1
2205805,6600.0,2
2205854,12450.0,4
2206100,2220.0,1
2206209,5400.0,2
2206670,4800.0,1
2206803,6000.0,1
2207702,7800.0,2
2207793,7500.0,2
2207801,342.0,1
2207900,2220.0,1
2207959,4200.0,1
2208007,3000.0,1
2208205,3000.0,1
2208304,1200.0,1
2208403,177.0,1
2208809,10041.0,6
2209450,259.0,1
2210391,688.0,1
2211001,350492.0,154
2211100,10200.0,4
2211209,1353.0,1
2211308,4759.0,3
2211407,7200.0,1
2300150,9000.0,4
2300507,688.0,1
2300754,1200.0,1
2301000,21489.0,10
2301109,5277.0,4
2301208,1800.0,1
2301307,7200.0,3
2301406,1607.0,1
2301703,1200.0,1
2301851,5400.0,2
2301901,2400.0,1
2302057,2400.0,1
2302107,6391.0,3
2302206,2801.0,2
2302305,1070.0,1
2302404,2640.0,2
2302602,2270.0,1
2302701,3600.0,2
2302800,20592.0,12
2302909,1029.0,1
2303105,12000.0,4
2303501,8011.0,4
2303709,94114.0,38
2303956,4200.0,2
2304103,15600.0,7
2304202,40358.0,21
2304251,300.0,1
2304285,6857.0,6
2304350,5570.0,3
2304400,906509.0,383
2304806,4620.0,2
2304954,2400.0,2
2305209,4200.0,2
2305233,2659.0,2
2305308,3000.0,1
2305332,470.0,1
2305357,1800.0,1
2305506,8870.0,3
2305605,8406.0,6
2305803,3770.0,2
2305902,5400.0,2
2306009,5400.0,2
2306108,2229.0,1
2306256,14400.0,4
2306306,15470.0,5
2306405,39708.0,13
2306553,6000.0,1
2306603,1621.0,1
2306702,1200.0,1
2307007,4200.0,1
2307106,2400.0,1
2307205,4200.0,2
2307254,7200.0,2
2307304,59188.0,20
2307502,1711.0,1
2307601,15000.0,4
2307635,1200.0,1
2307650,43929.0,17
2307700,11889.0,6
2308005,3000.0,1
2308104,7670.0,4
2308203,5529.0,2
2308401,4200.0,2
2308609,1800.0,1
2308708,5270.0,1
2308906,1200.0,1
2309003,3000.0,1
2309201,3000.0,1
2309300,9000.0,2
2309409,14400.0,5
2309458,1411.0,2
2309607,70921.0,25
2309706,2359.0,1
2309805,1571.0,1
2309904,2360.0,2
2310001,6000.0,1
2310209,4711.0,3
2310258,1200.0,1
2310308,6000.0,2
2310407,646.0,1
2310506,7200.0,3
2310704,1200.0,1
2310803,332.0,1
2310852,4200.0,1
2311009,6000.0,2
2311306,13622.0,10
2311405,16800.0,3
2311504,3000.0,2
2311603,4800.0,2
2311702,3000.0,1
2311801,15600.0,7
2311900,2400.0,1
2312205,6000.0,1
2312304,4670.0,2
2312403,3609.0,3
2312601,1581.0,1
2312908,65398.0,26
2313005,3931.0,1
2313104,6000.0,3
2313302,18470.0,6
2313401,30481.0,9
2313500,10200.0,3
2313559,1029.0,1
2314003,4231.0,3
2314102,11247.0,6
2400109,3000.0,2
2400208,12000.0,4
2400307,6000.0,1
2400505,3000.0,1
2400703,600.0,1
2401008,5400.0,2
2401206,1200.0,1
2401404,2400.0,1
2401453,11529.0,5
2401800,1200.0,1
2402006,36600.0,15
2402105,2974.0,2
2402204,7442.0,3
2402303,9470.0,3
2402402,3000.0,1
2402501,3000.0,1
2402600,24600.0,12
2402709,6600.0,2
2402907,2155.0,2
2403004,1500.0,2
2403103,2400.0,2
2403251,88188.0,46
2403400,2400.0,1
2403509,2400.0,1
2403608,36000.0,20
2404002,2400.0,1
2404309,6000.0,2
2404507,2400.0,2
2404606,4200.0,3
2404705,9000.0,2
2404804,1200.0,1
2405108,9600.0,4
2405207,191.0,1
2405603,3000.0,1
2405702,4800.0,3
2406007,6600.0,3
2406106,10354.0,3
2406304,3000.0,1
2406502,3600.0,2
2406601,3000.0,1
2406809,3000.0,1
2406908,6000.0,2
2407104,21890.0,10
2407203,3000.0,1
2407252,3600.0,2
2407401,1200.0,1
2407500,3300.0,3
2407807,19448.0,8
2408003,169261.0,67
2408102,425890.0,218
2408201,13800.0,7
2408300,2400.0,2
2408409,4800.0,2
2408508,5400.0,2
2408805,3000.0,1
2408904,3600.0,2
2409308,4200.0,1
2409407,3000.0,1
2409605,1200.0,1
2409902,2400.0,1
2410256,4200.0,1
2410405,9600.0,3
2410801,4200.0,1
2411007,2400.0,1
2411205,9000.0,6
2411403,3906.0,2
2411502,2822.0,2
2412005,77773.0,39
2412203,17100.0,10
2412302,1670.0,1
2412500,6000.0,1
2412609,2400.0,1
2413359,10060.0,4
2413607,3600.0,1
2413805,1800.0,1
2413904,1800.0,1
2414001,1200.0,1
2414159,1629.0,1
2414209,3927.0,2
2414407,10800.0,4
2414456,1200.0,1
2414753,2400.0,1
2415008,3000.0,1
2500403,4711.0,2
2501005,3953.0,2
2501104,8829.0,4
2501203,6000.0,1
2501302,988.0,1
2501401,2400.0,1
2501575,4800.0,1
2501807,68424.0,37
2502003,3000.0,1
2502151,6000.0,3
2502508,1200.0,1
2502706,2400.0,1
2503001,4800.0,1
2503209,22018.0,12
2503308,3000.0,1
2503605,3000.0,1
2503704,3000.0,1
2504009,227407.0,99
2504306,3000.0,1
2504405,2416.0,2
2504504,2400.0,1
