"Munic�pio";"Popula��o_residente"
"220515 JACOBINA DO PIAUI";5741
"220520 JAICOS";19104
"220525 JARDIM DO MULATO";4504
"220527 JATOBA DO PIAUI";4865
"220530 JERUMENHA";4452
"220535 JOAO COSTA";3008
"220540 JOAQUIM PIRES";14354
"220545 JOCA MARQUES";5443
"220550 JOSE DE FREITAS";39208
"220551 JUAZEIRO DO PIAUI";5478
"220552 JULIO BORGES";5627
"220553 JUREMA";4763
"220554 LAGOINHA DO PIAUI";2845
"220555 LAGOA ALEGRE";8542
"220556 LAGOA DO BARRO DO PIAUI";4655
"220557 LAGOA DE SAO FRANCISCO";6758
"220558 LAGOA DO PIAUI";4064
"220559 LAGOA DO SITIO";5177
"220560 LANDRI SALES";5295
"220570 LUIS CORREIA";30311
"220580 LUZILANDIA";25486
"220585 MADEIRO";8310
"220590 MANOEL EMIDIO";5349
"220595 MARCOLANDIA";8492
"220600 MARCOS PARENTE";4549
"220605 MASSAPE DO PIAUI";6441
"220610 MATIAS OLIMPIO";10936
"220620 MIGUEL ALVES";33760
"220630 MIGUEL LEAO";1246
"220635 MILTON BRANDAO";6613
"220640 MONSENHOR GIL";10564
"220650 MONSENHOR HIPOLITO";7749
"220660 MONTE ALEGRE DO PIAUI";10613
"220665 MORRO CABECA NO TEMPO";4532
"220667 MORRO DO CHAPEU DO PIAUI";6796
"220669 MURICI DOS PORTELAS";9159
"220670 NAZARE DO PIAUI";7339
"220672 NAZARIA";8570
"220675 NOSSA SENHORA DE NAZARE";4870
"220680 NOSSA SENHORA DOS REMEDIOS";8692
"220690 NOVO ORIENTE DO PIAUI";6565
"220695 NOVO SANTO ANTONIO";2991
"220700 OEIRAS";37029
"220710 OLHO D'AGUA DO PIAUI";2459
"220720 PADRE MARCOS";6868
"220730 PAES LANDIM";4129
"220735 PAJEU DO PIAUI";3389
"220740 PALMEIRA DO PIAUI";5043
"220750 PALMEIRAIS";14539
"220755 PAQUETA";3945
"220760 PARNAGUA";10791
"220770 PARNAIBA";153078
"220775 PASSAGEM FRANCA DO PIAUI";4313
"220777 PATOS DO PIAUI";6392
"220779 PAU D'ARCO DO PIAUI";4045
"220780 PAULISTANA";20523
"220785 PAVUSSU";3677
"220790 PEDRO II";38742
"220793 PEDRO LAURENTINO";2536
"220795 NOVA SANTA RITA";4374
"220800 PICOS";78222
"220810 PIMENTEIRAS";12127
"220820 PIO IX";18425
"220830 PIRACURUCA";28791
"220840 PIRIPIRI";63742
"220850 PORTO";12568
"220855 PORTO ALEGRE DO PIAUI";2710
"220860 PRATA DO PIAUI";3151
"220865 QUEIMADA NOVA";8992
"220870 REDENCAO DO GURGUEIA";8778
"220880 REGENERACAO";17978
"220885 RIACHO FRIO";4312
"220887 RIBEIRA DO PIAUI";4477
"220890 RIBEIRO GONCALVES";7341
"220900 RIO GRANDE DO PIAUI";6432
"220910 SANTA CRUZ DO PIAUI";6240
"220915 SANTA CRUZ DOS MILAGRES";4019
"220920 SANTA FILOMENA";6253
"220930 SANTA LUZ";5860
"220935 SANTANA DO PIAUI";4634
"220937 SANTA ROSA DO PIAUI";5257
"220940 SANTO ANTONIO DE LISBOA";6415
"220945 SANTO ANTONIO DOS MILAGRES";2161
"220950 SANTO INACIO DO PIAUI";3798
"220955 SAO BRAZ DO PIAUI";4448
"220960 SAO FELIX DO PIAUI";2942
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";5755
"220970 SAO FRANCISCO DO PIAUI";6423
"220975 SAO GONCALO DO GURGUEIA";3041
"220980 SAO GONCALO DO PIAUI";5015
"220985 SAO JOAO DA CANABRAVA";4608
"220987 SAO JOAO DA FRONTEIRA";6042
"220990 SAO JOAO DA SERRA";6139
"220995 SAO JOAO DA VARJOTA";4840
"220997 SAO JOAO DO ARRAIAL";7989
"221000 SAO JOAO DO PIAUI";20601
"221005 SAO JOSE DO DIVINO";5346
"221010 SAO JOSE DO PEIXE";3745
"221020 SAO JOSE DO PIAUI";6705
"221030 SAO JULIAO";6363
"221035 SAO LOURENCO DO PIAUI";4573
"221037 SAO LUIS DO PIAUI";2644
"221038 SAO MIGUEL DA BAIXA GRANDE";2452
"221039 SAO MIGUEL DO FIDALGO";3039
"221040 SAO MIGUEL DO TAPUIO";17662
"221050 SAO PEDRO DO PIAUI";14291
"221060 SAO RAIMUNDO NONATO";34710
"221062 SEBASTIAO BARROS";3469
"221063 SEBASTIAO LEAL";4294
"221065 SIGEFREDO PACHECO";10041
"221070 SIMOES";14633
"221080 SIMPLICIO MENDES";12711
"221090 SOCORRO DO PIAUI";4569
"221093 SUSSUAPARA";6730
"221095 TAMBORIL DO PIAUI";2919
"221097 TANQUE DO PIAUI";2765
"221100 TERESINA";864845
"221110 UNIAO";44485
"221120 URUCUI";21558
"221130 VALENCA DO PIAUI";20918
"221135 VARZEA BRANCA";4947
"221140 VARZEA GRANDE";4391
"221150 VERA MENDES";3077
"221160 VILA NOVA DO PIAUI";2971
"221170 WALL FERRAZ";4462
"230010 ABAIARA";11737
"230015 ACARAPE";14929
"230020 ACARAU";62641
"230030 ACOPIARA";54270
"230040 AIUABA";17399
"230050 ALCANTARAS";11714
"230060 ALTANEIRA";7586
"230070 ALTO SANTO";15986
"230075 AMONTADA";43452
"230080 ANTONINA DO NORTE";7353
"230090 APUIARES";14600
"230100 AQUIRAZ";80271
"230110 ARACATI";74547
"230120 ARACOIABA";26469
"230125 ARARENDA";10935
"230130 ARARIPE";21600
"230140 ARATUBA";11847
"230150 ARNEIROZ";7840
"230160 ASSARE";23417
"230170 AURORA";24654
"230180 BAIXIO";6288
"230185 BANABUIU";18197
"230190 BARBALHA";60781
"230195 BARREIRA";22425
"230200 BARRO";22680
"230205 BARROQUINHA";15017
"230210 BATURITE";35750
"230220 BEBERIBE";53573
"230230 BELA CRUZ";32591
"230240 BOA VIAGEM";54470
"230250 BREJO SANTO";49477
"230260 CAMOCIM";63661
"230270 CAMPOS SALES";27426
"230280 CANINDE";76997
"230290 CAPISTRANO";17738
"230300 CARIDADE";22547
"230310 CARIRE";18448
"230320 CARIRIACU";26965
"230330 CARIUS";18699
"230340 CARNAUBAL";17606
"230350 CASCAVEL";71743
"230360 CATARINA";20698
"230365 CATUNDA";10342
"230370 CAUCAIA";361400
"230380 CEDRO";25557
"230390 CHAVAL";13069
"230393 CHORO";13521
"230395 CHOROZINHO";20264
"230400 COREAU";23136
"230410 CRATEUS";75074
"230420 CRATO";132123
"230423 CROATA";18063
"230425 CRUZ";24827
"230426 DEPUTADO IRAPUAN PINHEIRO";9625
"230427 ERERE";7198
"230428 EUSEBIO";53618
"230430 FARIAS BRITO";19450
"230435 FORQUILHA";24218
"230440 FORTALEZA";2669342
"230445 FORTIM";16480
"230450 FRECHEIRINHA";14072
"230460 GENERAL SAMPAIO";7618
"230465 GRACA";14399
"230470 GRANJA";54748
"230480 GRANJEIRO";4844
"230490 GROAIRAS";11068
"230495 GUAIUBA";26064
"230500 GUARACIABA DO NORTE";40642
"230510 GUARAMIRANGA";5193
"230520 HIDROLANDIA";19978
"230523 HORIZONTE";67337
"230526 IBARETAMA";13353
"230530 IBIAPINA";24997
"230533 IBICUITINGA";12525
"230535 ICAPUI";19934
"230540 ICO";68018
"230550 IGUATU";102498
"230560 INDEPENDENCIA";26178
"230565 IPAPORANGA";11593
"230570 IPAUMIRIM";12463
"230580 IPU";41964
"230590 IPUEIRAS";38166
"230600 IRACEMA";14297
"230610 IRAUCUBA";24156
"230620 ITAICABA";7827
"230625 ITAITINGA";37980
"230630 ITAPAGE";52675
"230640 ITAPIPOCA";129358
"230650 ITAPIUNA";20382
"230655 ITAREMA";41826
"230660 ITATIRA";21647
"230670 JAGUARETAMA";18162
"230680 JAGUARIBARA";11401
"230690 JAGUARIBE";34682
"230700 JAGUARUANA";33705
"230710 JARDIM";27174
"230720 JATI";8111
"230725 JIJOCA DE JERICOACOARA";19816
"230730 JUAZEIRO DO NORTE";274207
"230740 JUCAS";24833
"230750 LAVRAS DA MANGABEIRA";31508
"230760 LIMOEIRO DO NORTE";59540
"230763 MADALENA";19691
"230765 MARACANAU";227886
"230770 MARANGUAPE";128978
"230780 MARCO";27361
"230790 MARTINOPOLE";11233
"230800 MASSAPE";38737
"230810 MAURITI";47962
"230820 MERUOCA";15057
"230830 MILAGRES";27512
"230835 MILHA";13155
"230837 MIRAIMA";13818
"230840 MISSAO VELHA";35393
"230850 MOMBACA";43797
"230860 MONSENHOR TABOSA";17234
"230870 MORADA NOVA";61890
"230880 MORAUJO";8724
"230890 MORRINHOS";22534
"230900 MUCAMBO";14537
"230910 MULUNGU";10823
"230920 NOVA OLINDA";15565
"230930 NOVA RUSSAS";32328
"230940 NOVO ORIENTE";28607
"230945 OCARA";25703
"230950 OROS";21427
"230960 PACAJUS";72203
"230970 PACATUBA";83432
"230980 PACOTI";12261
"230990 PACUJA";6533
"231000 PALHANO";9386
"231010 PALMACIA";13322
"231020 PARACURU";35076
"231025 PARAIPABA";32744
"231030 PARAMBU";31521
"231040 PARAMOTI";12226
"231050 PEDRA BRANCA";43258
"231060 PENAFORTE";9077
"231070 PENTECOSTE";37751
"231080 PEREIRO";16307
"231085 PINDORETAMA";20567
"231090 PIQUET CARNEIRO";16959
"231095 PIRES FERREIRA";10951
"231100 PORANGA";12336
"231110 PORTEIRAS";14996
"231120 POTENGI";11045
"231123 POTIRETAMA";6419
"231126 QUITERIANOPOLIS";21084
"231130 QUIXADA";87728
"231135 QUIXELO";16178
"231140 QUIXERAMOBIM";81082
"231150 QUIXERE";22149
"231160 REDENCAO";29053
"231170 RERIUTABA";18491
"231180 RUSSAS";78194
"231190 SABOEIRO";15819
"231195 SALITRE";16554
"231200 SANTANA DO ACARAU";32452
"231210 SANTANA DO CARIRI";17700
"231220 SANTA QUITERIA";43703
"231230 SAO BENEDITO";47903
"231240 SAO GONCALO DO AMARANTE";48422
"231250 SAO JOAO DO JAGUARIBE";7645
"231260 SAO LUIS DO CURU";13000
"231270 SENADOR POMPEU";25496
"231280 SENADOR SA";7623
"231290 SOBRAL";208935
"231300 SOLONOPOLE";18324
"231310 TABULEIRO DO NORTE";31857
"231320 TAMBORIL";26251
"231325 TARRAFAS";8592
"231330 TAUA";58859
"231335 TEJUCUOCA";19187
"231340 TIANGUA";75946
"231350 TRAIRI";55918
"231355 TURURU";16271
"231360 UBAJARA";34792
"231370 UMARI";7733
"231375 UMIRIM";19825
"231380 URUBURETAMA";21850
"231390 URUOCA";13840
"231395 VARJOTA";18420
"231400 VARZEA ALEGRE";40721
"231410 VICOSA DO CEARA";60889
"240010 ACARI";11136
"240020 ACU";58017
"240030 AFONSO BEZERRA";11035
"240040 AGUA NOVA";3252
"240050 ALEXANDRIA";13577
"240060 ALMINO AFONSO";4735
"240070 ALTO DO RODRIGUES";14529
"240080 ANGICOS";11714
"240090 ANTONIO MARTINS";7145
"240100 APODI";35845
"240110 AREIA BRANCA";27774
"240120 ARES";14306
"240130 AUGUSTO SEVERO";9655
"240140 BAIA FORMOSA";9271
"240145 BARAUNA";28374
"240150 BARCELONA";3998
"240160 BENTO FERNANDES";5497
"240165 BODO";2223
"240170 BOM JESUS";10210
"240180 BREJINHO";12699
"240185 CAICARA DO NORTE";6549
"240190 CAICARA DO RIO DO VENTO";3684
"240200 CAICO";67952
"240210 CAMPO REDONDO";11217
"240220 CANGUARETAMA";34276
"240230 CARAUBAS";20493
"240240 CARNAUBA DOS DANTAS";8180
"240250 CARNAUBAIS";10759
"240260 CEARA-MIRIM";73497
"240270 CERRO CORA";11179
"240280 CORONEL EZEQUIEL";5506
"240290 CORONEL JOAO PESSOA";4912
"240300 CRUZETA";7998
"240310 CURRAIS NOVOS";44786
"240320 DOUTOR SEVERIANO";7076
"240325 PARNAMIRIM";261469
"240330 ENCANTO";5638
"240340 EQUADOR";6045
"240350 ESPIRITO SANTO";10505
"240360 EXTREMOZ";28583
"240370 FELIPE GUERRA";5985
"240375 FERNANDO PEDROZA";3054
"240380 FLORANIA";9800
"240390 FRANCISCO DANTAS";2824
"240400 FRUTUOSO GOMES";4068
"240410 GALINHOS";2786
"240420 GOIANINHA";26328
"240430 GOVERNADOR DIX-SEPT ROSADO";13037
"240440 GROSSOS";10383
"240450 GUAMARE";15659
"240460 IELMO MARINHO";13766
"240470 IPANGUACU";15491
"240480 IPUEIRA";2241
"240485 ITAJA";7548
"240490 ITAU";5878
"240500 JACANA";9133
"240510 JANDAIRA";6878
"240520 JANDUIS";5268
"240530 JANUARIO CICCO";10181
"240540 JAPI";5055
"240550 JARDIM DE ANGICOS";2612
"240560 JARDIM DE PIRANHAS";14837
"240570 JARDIM DO SERIDO";12396
"240580 JOAO CAMARA";34955
"240590 JOAO DIAS";2654
"240600 JOSE DA PENHA";5951
"240610 JUCURUTU";18295
"240615 JUNDIA";3898
"240620 LAGOA D'ANTA";6769
"240630 LAGOA DE PEDRAS";7544
"240640 LAGOA DE VELHOS";2732
"240650 LAGOA NOVA";15614
"240660 LAGOA SALGADA";8245
"240670 LAJES";11277
"240680 LAJES PINTADAS";4759
"240690 LUCRECIA";3996
"240700 LUIS GOMES";10116
"240710 MACAIBA";80792
"240720 MACAU";31814
"240725 MAJOR SALES";4020
"240730 MARCELINO VIEIRA";8347
"240740 MARTINS";8725
"240750 MAXARANGUAPE";12371
"240760 MESSIAS TARGINO";4601
"240770 MONTANHAS";11251
"240780 MONTE ALEGRE";22451
"240790 MONTE DAS GAMELEIRAS";2105
"240800 MOSSORO";297378
"240810 NATAL";884122
"240820 NISIA FLORESTA";27602
"240830 NOVA CRUZ";37343
"240840 OLHO-D'AGUA DO BORGES";4258
"240850 OURO BRANCO";4812
"240860 PARANA";4254
"240870 PARAU";3768
"240880 PARAZINHO";5237
"240890 PARELHAS";21477
"240895 RIO DO FOGO";10848
"240910 PASSA E FICA";13277
"240920 PASSAGEM";3089
"240930 PATU";12755
"240933 SANTA MARIA";5551
"240940 PAU DOS FERROS";30394
"240950 PEDRA GRANDE";3237
"240960 PEDRA PRETA";2458
"240970 PEDRO AVELINO";6716
"240980 PEDRO VELHO";14806
"240990 PENDENCIAS";15129
"241000 PILOES";3838
"241010 POCO BRANCO";15413
"241020 PORTALEGRE";7867
"241025 PORTO DO MANGUE";6437
"241030 SERRA CAIADA";10395
"241040 PUREZA";9621
"241050 RAFAEL FERNANDES";5098
"241060 RAFAEL GODEIRO";3201
"241070 RIACHO DA CRUZ";3579
"241080 RIACHO DE SANTANA";4204
"241090 RIACHUELO";8128
"241100 RODOLFO FERNANDES";4467
"241105 TIBAU";4106
"241110 RUY BARBOSA";3600
"241120 SANTA CRUZ";39674
"241140 SANTANA DO MATOS";12107
"241142 SANTANA DO SERIDO";2680
"241150 SANTO ANTONIO";24136
"241160 SAO BENTO DO NORTE";2747
"241170 SAO BENTO DO TRAIRI";4449
"241180 SAO FERNANDO";3584
"241190 SAO FRANCISCO DO OESTE";4228
"241200 SAO GONCALO DO AMARANTE";102400
"241210 SAO JOAO DO SABUGI";6193
"241220 SAO JOSE DE MIPIBU";43899
"241230 SAO JOSE DO CAMPESTRE";12856
"241240 SAO JOSE DO SERIDO";4634
"241250 SAO MIGUEL";23519
"241255 SAO MIGUEL DO GOSTOSO";10282
"241260 SAO PAULO DO POTENGI";17579
"241270 SAO PEDRO";5971
"241280 SAO RAFAEL";8202
"241290 SAO TOME";11055
"241300 SAO VICENTE";6424
"241310 SENADOR ELOI DE SOUZA";6086
"241320 SENADOR GEORGINO AVELINO";4440
"241330 SERRA DE SAO BENTO";5762
"241335 SERRA DO MEL";11938
"241340 SERRA NEGRA DO NORTE";8078
"241350 SERRINHA";6229
"241355 SERRINHA DOS PINTOS";4800
"241360 SEVERIANO MELO";2440
"241370 SITIO NOVO";5522
"241380 TABOLEIRO GRANDE";2566
"241390 TAIPU";12279
"241400 TANGARA";15727
"241410 TENENTE ANANIAS";10786
"241415 TENENTE LAURENTINO CRUZ";5952
"241420 TIBAU DO SUL";14180
"241430 TIMBAUBA DOS BATISTAS";2414
"241440 TOUROS";33287
"241445 TRIUNFO POTIGUAR";3237
"241450 UMARIZAL";10555
"241460 UPANEMA";14659
"241470 VARZEA";5500
"241475 VENHA-VER";4177
"241480 VERA CRUZ";12481
"241490 VICOSA";1718
"241500 VILA FLOR";3170
"250010 AGUA BRANCA";10234
"250020 AGUIAR";5640
"250030 ALAGOA GRANDE";28496
"250040 ALAGOA NOVA";20849
"250050 ALAGOINHA";14489
"250053 ALCANTIL";5492
"250057 ALGODAO DE JANDAIRA";2567
"250060 ALHANDRA";19588
"250070 SAO JOAO DO RIO DO PEIXE";18034
"250073 AMPARO";2238
"250077 APARECIDA";8347
"250080 ARACAGI";16987
"250090 ARARA";13470
"250100 ARARUNA";20312
"250110 AREIA";22819
"250115 AREIA DE BARAUNAS";2128
"250120 AREIAL";6998
"250130 AROEIRAS";19153
"250135 ASSUNCAO";3990
"250140 BAIA DA TRAICAO";8993
"250150 BANANEIRAS";21318
"250153 BARAUNA";4892
"250157 BARRA DE SANTANA";8359
"250160 BARRA DE SANTA ROSA";15384
"250170 BARRA DE SAO MIGUEL";6036
"250180 BAYEUX";96880
"250190 BELEM";17676
"250200 BELEM DO BREJO DO CRUZ";7342
"250205 BERNARDINO BATISTA";3501
"250210 BOA VENTURA";5366
"250215 BOA VISTA";7051
"250220 BOM JESUS";2561
"250230 BOM SUCESSO";4975
"250240 BONITO DE SANTA FE";11917
"250250 BOQUEIRAO";17804
"250260 IGARACY";6117
"250270 BORBOREMA";5263
"250280 BREJO DO CRUZ";14122
"250290 BREJO DOS SANTOS";6449
"250300 CAAPORA";21828
"250310 CABACEIRAS";5611
"250320 CABEDELO";67736
"250330 CACHOEIRA DOS INDIOS";10244
"250340 CACIMBA DE AREIA";3682
"250350 CACIMBA DE DENTRO";17187
"250355 CACIMBAS";7173
"250360 CAICARA";7201
"250370 CAJAZEIRAS";61993
"250375 CAJAZEIRINHAS";3193
"250380 CALDAS BRANDAO";6014
"250390 CAMALAU";6013
"250400 CAMPINA GRANDE";409731
"250403 CAPIM";6523
"250407 CARAUBAS";4162
"250410 CARRAPATEIRA";2659
"250415 CASSERENGUE";7468
"250420 CATINGUEIRA";4932
"250430 CATOLE DO ROCHA";30546
"250435 CATURITE";4852
"250440 CONCEICAO";18982
"250450 CONDADO";6654
"250460 CONDE";24670
"250470 CONGO";4786
"250480 COREMAS";15445
"250485 COXIXOLA";1921
"250490 CRUZ DO ESPIRITO SANTO";17319
"250500 CUBATI";7797
"250510 CUITE";20338
"250520 CUITEGI";6803
"250523 CUITE DE MAMANGUAPE";6353
"250527 CURRAL DE CIMA";5227
"250530 CURRAL VELHO";2516
"250535 DAMIAO";5330
"250540 DESTERRO";8297
"250550 VISTA SERRANA";3798
"250560 DIAMANTE";6552
"250570 DONA INES";10453
"250580 DUAS ESTRADAS";3596
"250590 EMAS";3522
"250600 ESPERANCA";33007
"250610 FAGUNDES";11253
"250620 FREI MARTINHO";2989
"250625 GADO BRAVO";8316
"250630 GUARABIRA";58833
"250640 GURINHEM";14129
"250650 GURJAO";3428
"250660 IBIARA";5929
"250670 IMACULADA";11819
"250680 INGA";18103
"250690 ITABAIANA";24477
"250700 ITAPORANGA";24692
"250710 ITAPOROROCA";18664
"250720 ITATUBA";10962
"250730 JACARAU";14431
"250740 JERICO";7739
"250750 JOAO PESSOA";809015
"250760 JUAREZ TAVORA";7936
"250770 JUAZEIRINHO";18171
"250780 JUNCO DO SERIDO";7150
"250790 JURIPIRANGA";10756
"250800 JURU";9867
"250810 LAGOA";4666
"250820 LAGOA DE DENTRO";7719
"250830 LAGOA SECA";27503
"250840 LASTRO";2737
"250850 LIVRAMENTO";7256
"250855 LOGRADOURO";4332
"250860 LUCENA";13080
"250870 MAE D'AGUA";4009
"250880 MALTA";5759
"250890 MAMANGUAPE";44882
"250900 MANAIRA";10955
"250905 MARCACAO";8558
"250910 MARI";21837
"250915 MARIZOPOLIS";6617
"250920 MASSARANDUBA";13918
"250930 MATARACA";8434
"250933 MATINHAS";4500
"250937 MATO GROSSO";2908
"250939 MATUREIA";6569
"250940 MOGEIRO";13284
"250950 MONTADAS";5669
"250960 MONTE HOREBE";4816
"250970 MONTEIRO";33222
"250980 MULUNGU";9902
"250990 NATUBA";10454
"251000 NAZAREZINHO";7301
"251010 NOVA FLORESTA";10638
"251020 NOVA OLINDA";5949
"251030 NOVA PALMEIRA";4906
"251040 OLHO D'AGUA";6526
"251050 OLIVEDOS";3932
"251060 OURO VELHO";3039
"251065 PARARI";1771
"251070 PASSAGEM";2419
"251080 PATOS";107605
"251090 PAULISTA";12347
"251100 PEDRA BRANCA";3801
"251110 PEDRA LAVRADA";7843
"251120 PEDRAS DE FOGO";28458
"251130 PIANCO";16075
"251140 PICUI";18703
"251150 PILAR";11917
"251160 PILOES";6635
"251170 PILOEZINHOS";4976
"251180 PIRPIRITUBA";10579
"251190 PITIMBU";19065
"251200 POCINHOS";18564
"251203 POCO DANTAS";3888
"251207 POCO DE JOSE DE MOURA";4307
"251210 POMBAL";32801
"251220 PRATA";4209
"251230 PRINCESA ISABEL";23345
"251240 PUXINANA";13680
"251250 QUEIMADAS";43967
"251260 QUIXABA";1956
"251270 REMIGIO";19621
"251272 PEDRO REGIS";6089
"251274 RIACHAO";3588
"251275 RIACHAO DO BACAMARTE";4521
"251276 RIACHAO DO POCO";4509
"251278 RIACHO DE SANTO ANTONIO";1948
"251280 RIACHO DOS CAVALOS";8526
"251290 RIO TINTO";24176
"251300 SALGADINHO";3885
"251310 SALGADO DE SAO FELIX";12140
"251315 SANTA CECILIA";6558
"251320 SANTA CRUZ";6583
"251330 SANTA HELENA";5889
"251335 SANTA INES";3595
"251340 SANTA LUZIA";15382
"251350 SANTANA DE MANGUEIRA";5162
"251360 SANTANA DOS GARROTES";7031
"251365 JOCA CLAUDINO";2636
"251370 SANTA RITA";136586
"251380 SANTA TERESINHA";4573
"251385 SANTO ANDRE";2521
"251390 SAO BENTO";34031
"251392 SAO BENTINHO";4529
"251394 SAO DOMINGOS DO CARIRI";2615
"251396 SAO DOMINGOS";3073
"251398 SAO FRANCISCO";3392
"251400 SAO JOAO DO CARIRI";4199
"251410 SAO JOAO DO TIGRE";4422
"251420 SAO JOSE DA LAGOA TAPADA";7630
"251430 SAO JOSE DE CAIANA";6359
"251440 SAO JOSE DE ESPINHARAS";4682
"251445 SAO JOSE DOS RAMOS";5957
"251450 SAO JOSE DE PIRANHAS";20251
"251455 SAO JOSE DE PRINCESA";4003
"251460 SAO JOSE DO BONFIM";3557
"251465 SAO JOSE DO BREJO DO CRUZ";1801
"251470 SAO JOSE DO SABUGI";4141
"251480 SAO JOSE DOS CORDEIROS";3628
"251490 SAO MAMEDE";7724
"251500 SAO MIGUEL DE TAIPU";7368
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";11661
"251520 SAO SEBASTIAO DO UMBUZEIRO";3489
"251530 SAPE";52625
"251540 SAO VICENTE DO SERIDO";10775
"251550 SERRA BRANCA";13699
"251560 SERRA DA RAIZ";3148
"251570 SERRA GRANDE";2909
"251580 SERRA REDONDA";7041
"251590 SERRARIA";6099
"251593 SERTAOZINHO";5024
"251597 SOBRADO";7783
"251600 SOLANEA";26407
"251610 SOLEDADE";14989
"251615 SOSSEGO";3555
"251620 SOUSA";69444
"251630 SUME";16966
"251640 TACIMA";10911
"251650 TAPEROA";15376
"251660 TAVARES";14726
"251670 TEIXEIRA";15161
"251675 TENORIO";3058
"251680 TRIUNFO";9455
"251690 UIRAUNA";15242
"251700 UMBUZEIRO";9907
"251710 VARZEA";2810
"251720 VIEIROPOLIS";5348
"251740 ZABELE";2240
"260005 ABREU E LIMA";99986
"260010 AFOGADOS DA INGAZEIRA";37259
"260020 AFRANIO";19635
"260030 AGRESTINA";24885
"260040 AGUA PRETA";36771
"260050 AGUAS BELAS";43443
"260060 ALAGOINHA";14636
"260070 ALIANCA";38386
"260080 ALTINHO";22972
"260090 AMARAJI";22829
"260100 ANGELIM";11150
"260105 ARACOIABA";20524
"260110 ARARIPINA";84418
"260120 ARCOVERDE";74338
"260130 BARRA DE GUABIRABA";14385
"260140 BARREIROS";42659
"260150 BELEM DE MARIA";12073
"260160 BELEM DE SAO FRANCISCO";20729
"260170 BELO JARDIM";76439
"260180 BETANIA";12719
"260190 BEZERROS";60798
"260200 BODOCO";38146
"260210 BOM CONSELHO";48554
"260220 BOM JARDIM";39926
"260230 BONITO";38134
"260240 BREJAO";8993
"260250 BREJINHO";7487
"260260 BREJO DA MADRE DE DEUS";50742
"260270 BUENOS AIRES";13155
"260280 BUIQUE";58378
"260290 CABO DE SANTO AGOSTINHO";207048
"260300 CABROBO";34221
"260310 CACHOEIRINHA";20380
"260320 CAETES";28739
"260330 CALCADO";11053
"260340 CALUMBI";5750
"260345 CAMARAGIBE";157828
"260350 CAMOCIM DE SAO FELIX";18765
"260360 CAMUTANGA";8551
"260370 CANHOTINHO";24804
"260380 CAPOEIRAS";20048
"260390 CARNAIBA";19551
"260392 CARNAUBEIRA DA PENHA";12932
"260400 CARPINA";83641
"260410 CARUARU";361118
"260415 CASINHAS";14341
"260420 CATENDE";42892
"260430 CEDRO";11807
"260440 CHA DE ALEGRIA";13468
"260450 CHA GRANDE";21698
"260460 CONDADO";26421
"260470 CORRENTES";18207
"260480 CORTES";12578
"260490 CUMARU";10906
"260500 CUPIRA";24107
"260510 CUSTODIA";37111
"260515 DORMENTES";18908
"260520 ESCADA";68875
"260530 EXU";31825
"260540 FEIRA NOVA";22131
"260545 FERNANDO DE NORONHA";3061
"260550 FERREIROS";12123
"260560 FLORES";22624
"260570 FLORESTA";32873
"260580 FREI MIGUELINHO";15457
"260590 GAMELEIRA";31052
"260600 GARANHUNS";139788
"260610 GLORIA DO GOITA";30654
"260620 GOIANA";79758
"260630 GRANITO";7486
"260640 GRAVATA";84074
"260650 IATI";19197
"260660 IBIMIRIM";29235
"260670 IBIRAJUBA";7762
"260680 IGARASSU";117019
"260690 IGUARACY";12228
"260700 INAJA";23247
"260710 INGAZEIRA";4548
"260720 IPOJUCA";96204
"260730 IPUBI";30854
"260740 ITACURUBA";4918
"260750 ITAIBA";26349
"260760 ILHA DE ITAMARACA";26258
"260765 ITAMBE";36447
"260770 ITAPETIM";13616
"260775 ITAPISSUMA";26651
"260780 ITAQUITINGA";16955
"260790 JABOATAO DOS GUARARAPES";702298
"260795 JAQUEIRA";11656
"260800 JATAUBA";17150
"260805 JATOBA";14796
"260810 JOAO ALFREDO";33080
"260820 JOAQUIM NABUCO";16023
"260825 JUCATI";11424
"260830 JUPI";14836
"260840 JUREMA";15378
"260845 LAGOA DO CARRO";18071
"260850 LAGOA DE ITAENGA";21429
"260860 LAGOA DO OURO";13145
"260870 LAGOA DOS GATOS";16290
"260875 LAGOA GRANDE";25601
"260880 LAJEDO";40288
"260890 LIMOEIRO";56250
"260900 MACAPARANA";25376
"260910 MACHADOS";16088
"260915 MANARI";21434
"260920 MARAIAL";11345
"260930 MIRANDIBA";15390
"260940 MORENO";62784
"260950 NAZARE DA MATA";32471
"260960 OLINDA";392482
"260970 OROBO";23884
"260980 OROCO";14991
"260990 OURICURI";69459
"261000 PALMARES";63250
"261010 PALMEIRINA";7693
"261020 PANELAS";26474
"261030 PARANATAMA";11523
"261040 PARNAMIRIM";22010
"261050 PASSIRA";28933
"261060 PAUDALHO";56510
"261070 PAULISTA";331774
"261080 PEDRA";22617
"261090 PESQUEIRA";67395
"261100 PETROLANDIA";36548
"261110 PETROLINA";349145
"261120 POCAO";11302
"261130 POMBOS";27091
"261140 PRIMAVERA";14966
"261150 QUIPAPA";26037
"261153 QUIXABA";6813
"261160 RECIFE";1645727
"261170 RIACHO DAS ALMAS";20546
"261180 RIBEIRAO";47415
