"Munic�pio";"Popula��o_residente"
"150270 CONCEICAO DO ARAGUAIA";47864
"150275 CONCORDIA DO PARA";33318
"150276 CUMARU DO NORTE";13473
"150277 CURIONOPOLIS";17929
"150280 CURRALINHO";34448
"150285 CURUA";14393
"150290 CURUCA";40066
"150293 DOM ELISEU";59719
"150295 ELDORADO DOS CARAJAS";33808
"150300 FARO";7194
"150304 FLORESTA DO ARAGUAIA";20304
"150307 GARRAFAO DO NORTE";26066
"150309 GOIANESIA DO PARA";40475
"150310 GURUPA";33376
"150320 IGARAPE-ACU";38807
"150330 IGARAPE-MIRI";62698
"150340 INHANGAPI";11711
"150345 IPIXUNA DO PARA";64053
"150350 IRITUIA";32550
"150360 ITAITUBA";101247
"150370 ITUPIRANGA";53269
"150375 JACAREACANGA";8239
"150380 JACUNDA";59155
"150390 JURUTI";57943
"150400 LIMOEIRO DO AJURU";28935
"150405 MAE DO RIO";30077
"150410 MAGALHAES BARATA";8548
"150420 MARABA";279349
"150430 MARACANA";29473
"150440 MARAPANIM";28336
"150442 MARITUBA";131521
"150445 MEDICILANDIA";31597
"150450 MELGACO";27654
"150460 MOCAJUBA";31136
"150470 MOJU";82094
"150475 MOJUI DOS CAMPOS";16084
"150480 MONTE ALEGRE";58032
"150490 MUANA";40349
"150495 NOVA ESPERANCA DO PIRIA";21368
"150497 NOVA IPIXUNA";16678
"150500 NOVA TIMBOTEUA";15363
"150503 NOVO PROGRESSO";25762
"150506 NOVO REPARTIMENTO";75919
"150510 OBIDOS";52137
"150520 OEIRAS DO PARA";32512
"150530 ORIXIMINA";73096
"150540 OUREM";17842
"150543 OURILANDIA DO NORTE";32832
"150548 PACAJA";47706
"150549 PALESTINA DO PARA";7589
"150550 PARAGOMINAS";113145
"150553 PARAUAPEBAS";208273
"150555 PAU D'ARCO";5483
"150560 PEIXE-BOI";8077
"150563 PICARRA";12981
"150565 PLACAS";30982
"150570 PONTA DE PEDRAS";31082
"150580 PORTEL";62043
"150590 PORTO DE MOZ";41135
"150600 PRAINHA";29866
"150610 PRIMAVERA";10825
"150611 QUATIPURU";13608
"150613 REDENCAO";84787
"150616 RIO MARIA";18193
"150618 RONDON DO PARA";52357
"150619 RUROPOLIS";50510
"150620 SALINOPOLIS";40675
"150630 SALVATERRA";23752
"150635 SANTA BARBARA DO PARA";21079
"150640 SANTA CRUZ DO ARARI";10128
"150650 SANTA IZABEL DO PARA";70801
"150655 SANTA LUZIA DO PARA";19848
"150658 SANTA MARIA DAS BARREIRAS";21449
"150660 SANTA MARIA DO PARA";24861
"150670 SANTANA DO ARAGUAIA";72817
"150680 SANTAREM";304589
"150690 SANTAREM NOVO";6709
"150700 SANTO ANTONIO DO TAUA";31482
"150710 SAO CAETANO DE ODIVELAS";18050
"150715 SAO DOMINGOS DO ARAGUAIA";25557
"150720 SAO DOMINGOS DO CAPIM";31989
"150730 SAO FELIX DO XINGU";128481
"150740 SAO FRANCISCO DO PARA";15882
"150745 SAO GERALDO DO ARAGUAIA";24847
"150746 SAO JOAO DA PONTA";6139
"150747 SAO JOAO DE PIRABAS";23045
"150750 SAO JOAO DO ARAGUAIA";13996
"150760 SAO MIGUEL DO GUAMA";58986
"150770 SAO SEBASTIAO DA BOA VISTA";26640
"150775 SAPUCAIA";5930
"150780 SENADOR JOSE PORFIRIO";11658
"150790 SOURE";25374
"150795 TAILANDIA";106339
"150796 TERRA ALTA";11720
"150797 TERRA SANTA";18769
"150800 TOME-ACU";63447
"150803 TRACUATEUA";30959
"150805 TRAIRAO";18989
"150808 TUCUMA";39602
"150810 TUCURUI";113659
"150812 ULIANOPOLIS";59210
"150815 URUARA";45476
"150820 VIGIA";53686
"150830 VISEU";61403
"150835 VITORIA DO XINGU";15134
"150840 XINGUARA";44751
"160005 SERRA DO NAVIO";5397
"160010 AMAPA";9109
"160015 PEDRA BRANCA DO AMAPARI";16502
"160020 CALCOENE";11117
"160021 CUTIAS";5983
"160023 FERREIRA GOMES";7780
"160025 ITAUBAL";5503
"160027 LARANJAL DO JARI";50410
"160030 MACAPA";503327
"160040 MAZAGAO";21632
"160050 OIAPOQUE";27270
"160053 PORTO GRANDE";21971
"160055 PRACUUBA";5120
"160060 SANTANA";121364
"160070 TARTARUGALZINHO";17315
"160080 VITORIA DO JARI";15931
"170025 ABREULANDIA";2579
"170030 AGUIARNOPOLIS";6733
"170035 ALIANCA DO TOCANTINS";5390
"170040 ALMAS";7055
"170070 ALVORADA";8412
"170100 ANANAS";9549
"170105 ANGICO";3433
"170110 APARECIDA DO RIO NEGRO";4795
"170130 ARAGOMINAS";5758
"170190 ARAGUACEMA";7086
"170200 ARAGUACU";8517
"170210 ARAGUAINA";180470
"170215 ARAGUANA";5729
"170220 ARAGUATINS";35761
"170230 ARAPOEMA";6643
"170240 ARRAIAS";10567
"170255 AUGUSTINOPOLIS";18412
"170270 AURORA DO TOCANTINS";3757
"170290 AXIXA DO TOCANTINS";9756
"170300 BABACULANDIA";10664
"170305 BANDEIRANTES DO TOCANTINS";3553
"170307 BARRA DO OURO";4591
"170310 BARROLANDIA";5632
"170320 BERNARDO SAYAO";4459
"170330 BOM JESUS DO TOCANTINS";4894
"170360 BRASILANDIA DO TOCANTINS";2201
"170370 BREJINHO DE NAZARE";5497
"170380 BURITI DO TOCANTINS";11348
"170382 CACHOEIRINHA";2275
"170384 CAMPOS LINDOS";10116
"170386 CARIRI DO TOCANTINS";4382
"170388 CARMOLANDIA";2580
