municipio_ibge,contagem,soma
1100106,14074,10135200.0
1100379,3496,2437800.0
1100205,156756,115085400.0
1100940,5951,4203000.0
1100304,24287,17727000.0
1100114,15218,10863000.0
1101476,1032,700800.0
1100155,10874,7632000.0
1101492,5437,3856800.0
1101559,1396,940800.0
1100064,4480,3102600.0
5204557,1194,84.0
1400282,2788,2128800.0
1100346,4891,3486000.0
1400472,11067,8034600.0
1100031,1547,1096200.0
1100130,11021,7792200.0
4309001,3475,2514000.0
4210704,767,525000.0
4112405,2222,1551600.0
3506201,576,417000.0
3555356,1425,988200.0
2801702,7332,5326200.0
4128807,1609,1072200.0
2703403,2380,1642200.0
3522604,13026,9091800.0
5210158,1027,681600.0
2605103,13810,10194600.0
3113008,6934,4882800.0
2916401,20757,15177000.0
2506806,7260,5315400.0
3129400,1535,1059000.0
4309050,1695,1212000.0
3539004,2233,1567800.0
2408508,1762,1165200.0
2310209,15496,10932600.0
2932804,7047,5015400.0
3145802,797,545400.0
3555406,30258,21220800.0
1507409,6864,4902000.0
3162203,1860,1254600.0
3522653,1640,1111800.0
5210208,9581,6549600.0
2605152,5676,3850800.0
4309100,6641,4696200.0
2310258,13106,9366600.0
4210803,1228,879600.0
4112504,3578,2383800.0
3145851,1135,787800.0
3506300,2652,1857600.0
1507458,9475,7020600.0
4309126,622,424200.0
1507466,2715,1834800.0
3162252,1784,1218600.0
2900108,3414,2286600.0
2703502,2419,1806600.0
3522703,7851,5477400.0
1507474,8832,6136800.0
3113107,989,684000.0
2916500,13696,9791400.0
3145877,3146,2025600.0
2605202,24027,18809400.0
2506905,9866,7107000.0
3539103,5399,3876000.0
2408607,1731,1125000.0
2310308,12222,8037000.0
4210852,395,264000.0
3129509,5419,3948000.0
4309159,944,636600.0
2932903,32591,23373600.0
1704105,732,468000.0
3145901,8215,5686800.0
3555505,1284,912600.0
1720499,1457,1074000.0
1507508,5674,4172400.0
3506359,20199,14610000.0
3162302,969,650400.0
5210307,782,547200.0
4210902,502,342000.0
4309209,61474,45138600.0
4112603,418,285000.0
3506409,1641,1114800.0
2801900,1669,1177800.0
2900207,7475,5479200.0
2703601,3505,2751000.0
3522802,4161,2851200.0
2605301,14739,10123200.0
3113206,6470,4401600.0
2507002,8053,5711400.0
2916609,2814,1942200.0
3539202,5463,3757800.0
2408706,1574,1052400.0
2310407,4637,3155400.0
2933000,8972,6370200.0
3129608,2707,1966200.0
4309258,152,110400.0
3555604,2291,1579200.0
1507607,22005,16505400.0
3146008,7543,5107200.0
3162401,9129,6102600.0
5210406,12494,9052800.0
3129657,2304,1551600.0
4309308,20711,15100800.0
4112702,3466,2472000.0
4211009,1067,752400.0
2933059,5493,3861000.0
3506508,25073,17392200.0
1720655,1856,1381800.0
2900306,6329,4707000.0
3162450,4464,3073800.0
2703700,2196,1468800.0
3522901,2481,1738800.0
2802007,1584,1144800.0
2605400,8976,6904800.0
3113305,9397,6562800.0
2507101,7223,5017800.0
2916708,3274,2265600.0
3539301,13111,9327600.0
2408805,2252,1549200.0
2310506,15513,11009400.0
3129707,2707,1954800.0
4112751,2074,1432200.0
4211058,1984,1467000.0
2933109,3211,2139600.0
3555703,406,274200.0
1507706,8544,5762400.0
3146107,19849,13668000.0
2900355,6555,4530600.0
3162500,22168,15354000.0
2703759,3967,3014400.0
2605459,657,45.0
4309407,3001,2125200.0
4112801,2637,1816800.0
4211108,2255,1623000.0
2933158,5604,3978600.0
1507755,1724,1308000.0
3506607,9096,6492000.0
2900405,6155,4443600.0
2933174,4028,2871600.0
2802106,24685,18242400.0
3113404,23257,15994800.0
3162559,4761,3133200.0
2507200,4125,3023400.0
3523008,1371,940800.0
5210562,1952,1357200.0
2703809,7379,5618400.0
2605509,4081,2860800.0
2916807,5853,4321200.0
3539400,2956,2020200.0
2408904,7426,5227800.0
2310605,4281,2908200.0
3129806,45821,32650800.0
3162575,1993,1332600.0
2114007,17001,11954400.0
2933208,19242,14050800.0
3555802,2253,1539600.0
1507805,7334,5291400.0
3146206,2964,2034600.0
1720804,3318,2304000.0
5210604,1931,1302000.0
3162609,3173,2170200.0
2916856,6429,4795800.0
2408953,4742,3294000.0
4309506,1304,891000.0
4112900,1025,672000.0
4211207,3273,2324400.0
2933257,2753,1934400.0
3146255,1682,1266600.0
3506706,3192,2389800.0
1720853,487,349200.0
2900504,3552,2286600.0
2802205,2537,1837800.0
3113503,2815,1954200.0
3162658,1600,1040400.0
3523107,108705,79101600.0
2703908,1651,1229400.0
2605608,8203,5827200.0
2916906,4575,3300600.0
2507309,6432,4559400.0
2310704,14030,9657600.0
3129905,1117,735600.0
4309555,537,367800.0
3539509,8640,6238800.0
4211256,588,399600.0
2933307,116213,82311600.0
3555901,292,216000.0
4112959,1996,1383600.0
1507904,8539,6633000.0
3146305,6912,4767600.0
4309571,676,474000.0
1720903,5328,3813600.0
3162708,6721,4448400.0
4309605,2753,1968000.0
1720937,630,422400.0
4211306,18832,13499400.0
4113007,1445,984000.0
1507953,27478,20731800.0
3506805,2542,1812600.0
1507961,5369,3971400.0
2900603,1648,1188600.0
2802304,5993,4330200.0
3113602,1698,1201800.0
2704005,9091,6706200.0
3523206,13261,9235800.0
2917003,14102,9555600.0
1507979,7055,4938000.0
2605707,11313,8335200.0
2409100,4927,3331200.0
2507408,2869,2056200.0
3130002,778,526800.0
2310803,5905,4039200.0
1720978,878,604800.0
4309654,1850,1336800.0
1704600,497,352800.0
3539608,1414,1000800.0
2933406,3342,2298000.0
1508001,27604,20787000.0
3146404,1402,946800.0
1721000,78803,56289000.0
3556008,3187,219.0
5210802,1252,918600.0
3162807,5452,3819600.0
1508035,12510,8800800.0
3130051,3766,2508600.0
2310852,10027,7348800.0
4309704,592,412200.0
4211405,710,490800.0
2933455,5065,3564600.0
1508050,5845,4101600.0
4113106,1250,845400.0
3506904,2615,1800600.0
2900702,55666,41459400.0
2802403,4976,3259800.0
3113701,6284,4434000.0
2704104,7519,5170800.0
3523305,3763,2697000.0
2917102,6764,4854000.0
2605806,6148,4174200.0
2507507,223334,163884000.0
1508084,13940,9807000.0
3130101,12200,8725200.0
2310902,5866,3804000.0
4309753,984,651000.0
2409209,1258,839400.0
3539707,924,643800.0
4211454,771,524400.0
2933505,9703,6888000.0
1508100,35216,27247200.0
3146503,1615,1114800.0
3556107,3448,2419800.0
5210901,6001,4348200.0
1721109,2471,1723800.0
3162906,6302,4488000.0
1508126,9033,6726600.0
2310951,3418,2221800.0
3162922,8922,6364200.0
4309803,705,488400.0
4211504,1839,1287600.0
4113205,10694,7461000.0
3146552,2033,1325400.0
3507001,13924,9791400.0
1508159,17001,11961000.0
2900801,9657,6882600.0
3162948,1909,1280400.0
2802502,1099,764400.0
3113800,650,431400.0
2704203,9504,6540600.0
3523404,21572,14942400.0
3162955,6266,4431600.0
2917201,7734,5016600.0
2605905,8707,6939000.0
2507606,3302,2308800.0
3130200,2462,1686600.0
2409308,4850,3486000.0
3539806,30551,21903000.0
2311009,4916,3328800.0
2933604,19765,14568600.0
4113254,2150,1436400.0
3146602,448,313800.0
3556206,19893,13638600.0
1508209,20603,15334200.0
2409332,2248,1600800.0
1721208,7136,5178000.0
3163003,1714,1227000.0
5211008,2692,1935000.0
4309902,1166,792000.0
4211603,1902,1341000.0
4113304,8323,5820000.0
3507100,6589,4704000.0
2900900,2253,1658400.0
1721257,493,342000.0
2802601,2778,1914000.0
2704302,291979,214377600.0
3523503,4403,3102600.0
2606002,48153,34530600.0
2917300,9773,7225800.0
3113909,3003,2112600.0
2507705,6659,474.0
4309951,775,566400.0
2409407,9755,6885000.0
3539905,1431,1017000.0
2311108,6286,4284000.0
3130309,1651,1188600.0
4211652,367,250200.0
3146701,1939,1342800.0
3556305,4653,3418800.0
1508308,23302,16194000.0
2917334,4138,2900400.0
3507159,1241,848400.0
1721307,719,487800.0
3163102,1111,768000.0
2917359,3988,2608200.0
4211702,3229,2355000.0
4310009,3195,2253600.0
4113403,1086,719400.0
3146750,2737,1825200.0
3556354,2198,1514400.0
1508357,4738,3401400.0
3507209,225,147600.0
2802700,3635,2571000.0
2901007,13880,9700800.0
2704401,7461,5241600.0
3523602,2731,2025000.0
4113429,1159,777600.0
3114006,2785,1901400.0
2606101,10841,7872000.0
2507804,2710,1848600.0
2917409,5194,3358200.0
3540002,4193,2914800.0
2409506,1566,1051800.0
2311207,3529,2358000.0
3130408,1618,1111200.0
4211751,2943,2187000.0
4113452,1515,1075200.0
3556404,9543,6714000.0
1508407,16363,11909400.0
2311231,2487,1693800.0
3163201,1225,819600.0
5211206,9026,6259800.0
4211801,839,601800.0
4310108,6534,4648800.0
4113502,5348,3742200.0
2311264,8243,5518800.0
3556453,12849,9030600.0
3507308,1147,837000.0
2901106,8828,6573000.0
2704500,11983,9327600.0
3523701,1768,1310400.0
2606200,28173,20846400.0
3114105,3152,2232000.0
2802809,6358,4536600.0
2507903,3866,2683800.0
2917508,30672,22335600.0
3540101,750,527400.0
2409605,1155,785400.0
4211850,487,343200.0
3130507,3576,2438400.0
2311306,31556,22839000.0
1705102,1061,732600.0
3556503,24222,17127600.0
3146909,4174,3012600.0
2901155,6369,4378800.0
3163300,1610,1089600.0
4211876,367,246000.0
5211305,1413,1046400.0
4211892,572,397800.0
2311355,6429,4205400.0
3130556,2951,1976400.0
4211900,43171,30885600.0
4310207,15171,10926000.0
4113601,1142,777000.0
3507407,3488,2417400.0
2901205,9173,6408600.0
3523800,1739,1237800.0
3114204,4972,3412200.0
2802908,34779,25187400.0
2508000,3707,2496600.0
2704609,4511,3231600.0
2606309,3264,2259000.0
2917607,18249,12676200.0
3540200,8805,6557400.0
2409704,2502,1725600.0
2311405,25643,17741400.0
3130606,2298,1515600.0
3556602,2477,1707600.0
3147006,22452,16179600.0
3507456,660,460200.0
5211404,2504,1682400.0
3163409,1667,1126200.0
3130655,2536,1664400.0
4310306,734,478800.0
3540259,1202,804600.0
4113700,117047,81424200.0
4212007,1309,909600.0
3507506,29224,2049.0
2901304,5605,4017000.0
4310330,6589,4668000.0
2803005,17096,12866400.0
3114303,8027,5570400.0
2704708,19590,14822400.0
3523909,36392,25747200.0
4113734,1928,1357200.0
2606408,32657,24268200.0
2917706,11893,8300400.0
2409803,5312,3804000.0
2508109,1840,1243200.0
2311504,7642,5119800.0
3130705,1478,1035600.0
3540309,638,440400.0
4212056,430,308400.0
4310363,260,183600.0
3556701,12776,8824800.0
4113759,1526,1017600.0
3147105,19158,13518000.0
2901353,5972,4156800.0
5211503,25001,18284400.0
3163508,2239,1497000.0
4310405,1252,855000.0
4212106,2331,1644600.0
4310413,553,381600.0
4113809,1282,892200.0
3507605,39858,27810600.0
2901403,5697,3992400.0
2803104,1974,1302600.0
3114402,5393,3634200.0
3524006,11955,8579400.0
2704807,4873,3455400.0
4310439,864,603000.0
2606507,7842,5385000.0
2917805,8055,5604000.0
2409902,4505,3261600.0
2508208,3256,2248800.0
2311603,11207,7873800.0
3130804,667,454200.0
3540408,1098,764400.0
4310462,196,133200.0
3556800,3928,2749200.0
3147204,4950,3334800.0
5211602,811,560400.0
3163607,1093,741600.0
4310504,1763,1244400.0
4212205,4414,3169800.0
4113908,2933,2023200.0
3507704,1468,1047000.0
2901502,3488,2656200.0
2803203,13441,9889200.0
3114501,4506,3013800.0
3524105,8062,5776200.0
2704906,1434,983400.0
4310538,1177,837600.0
2606606,10195,7563600.0
4212239,644,451800.0
2917904,4139,2913600.0
2508307,9715,6727800.0
2311702,7108,4761600.0
3130903,8334,5598600.0
4310553,821,586800.0
2410009,1301,854400.0
3540507,2513,1682400.0
4212254,2533,1823400.0
1705508,11249,8039400.0
3147303,4992,3427200.0
3507753,817,57.0
3556909,1828,1279200.0
4212270,833,605400.0
4310579,433,291000.0
5211701,1931,1359000.0
3114550,1973,1464000.0
3163706,11076,7605600.0
4310603,8461,6292200.0
4212304,1732,1219800.0
1705557,1825,1245600.0
4114005,3787,2625000.0
3507803,5896,4200600.0
3556958,484,317400.0
2901601,4861,3362400.0
2803302,6405,4759800.0
3114600,1021,690600.0
2705002,8020,5590800.0
3524204,1369,1003200.0
2918001,53815,38984400.0
2606705,3049,2046000.0
2508406,1369,874200.0
3131000,2099,1521000.0
2311801,25790,18185400.0
2410108,4923,3373200.0
4310652,700,478800.0
3540606,10664,7449000.0
1705607,1372,991200.0
3147402,6416,4569600.0
3557006,26780,18742800.0
5211800,15976,11217600.0
3163805,2240,1505400.0
4310702,771,510600.0
4212403,545,374400.0
4114104,6071,4230600.0
3507902,4791,3376800.0
2901700,4547,3445800.0
2803401,6005,4579200.0
2705101,8252,6345600.0
3524303,16425,11650200.0
2918100,15267,11116200.0
3114709,1031,666600.0
2606804,40922,30789600.0
2508505,2908,1923000.0
2311900,5783,3848400.0
2410207,2870,1951200.0
4310751,341,227400.0
3540705,10391,7342800.0
1722081,3416,2530800.0
3131109,1963,1357800.0
3147501,490,326400.0
3557105,19151,13383600.0
1722107,3953,2896800.0
3163904,1565,1041600.0
5211909,25244,18121800.0
2508554,1518,1005600.0
2410256,2350,1573800.0
4310801,2578,1803600.0
3540754,5710,4001400.0
4212502,7878,5541600.0
2311959,7087,4693800.0
3131158,4985,3416400.0
4114203,7299,4981800.0
3557154,686,460800.0
3508009,6064,4386600.0
2803500,40096,29237400.0
2705200,5554,4236600.0
2901809,4371,3041400.0
3524402,52254,36804000.0
2606903,4722,3185400.0
3114808,1667,1128000.0
2508604,5299,3776400.0
2918209,5909,4075800.0
4310850,942,618000.0
2410306,3886,2569800.0
3540804,4005,2842800.0
2312007,12714,8472000.0
3131208,6438,4607400.0
3147600,4108,2765400.0
3557204,3013,2188200.0
4310876,670,435000.0
3164001,1950,1327800.0
5212006,1043,681600.0
4310900,524,363000.0
3540853,418,315000.0
4212601,291,201600.0
4114302,7442,5205000.0
3508108,4927,3497400.0
2901908,6865,4743600.0
3524501,1438,993000.0
5212055,931,655200.0
2607000,8537,6093000.0
2803609,9038,6775200.0
3114907,521,347400.0
2705309,2057,1366800.0
2508703,1452,978000.0
2918308,6286,4528200.0
2410405,3659,2482200.0
3540903,3888,2865600.0
2312106,6792,4500600.0
3131307,58058,40496400.0
4212650,1707,1278000.0
4114351,717,475200.0
3557303,1868,1320600.0
3147709,2152,1447200.0
3164100,1825,1269000.0
2901957,3126,2167800.0
5212105,1846,1281000.0
2918357,9833,6664200.0
4212700,748,518400.0
4311007,6935,5104800.0
4114401,4216,3012600.0
3508207,1085,765600.0
2902005,5753,3701400.0
3524600,4634,3219600.0
3115003,654,463200.0
2803708,3030,2157000.0
2705408,3234,2255400.0
2508802,2473,1716000.0
2607109,1783,1186200.0
2918407,82424,60878400.0
3541000,85798,60738000.0
2410504,2009,1335600.0
2312205,16035,11017200.0
3131406,1050,766200.0
1706001,1911,1300800.0
3147808,589,392400.0
2902054,4993,3799800.0
5212204,6236,4362000.0
3164209,2818,2037000.0
2918456,3705,2526000.0
4311106,2086,1432800.0
3541059,1596,1132200.0
4114500,3762,2642400.0
4212809,5937,4215000.0
3508306,1234,846600.0
4311122,933,681600.0
2902104,20834,14616000.0
4311130,758,524400.0
5212253,450,337200.0
3115102,4726,3326400.0
2803807,1495,1083000.0
2705507,9332,7453200.0
3524709,9889,6975600.0
2508901,16303,12221400.0
2607208,35707,27206400.0
2918506,6457,4384200.0
2410603,1191,797400.0
2312304,18106,12290400.0
3131505,3045,2047800.0
4311155,1664,1116600.0
1706100,2355,1625400.0
3541109,1002,693000.0
3147907,25841,18039600.0
5212303,2552,1861800.0
3164308,1795,1202400.0
2918555,2257,1693200.0
4311205,4446,3225600.0
4212908,2534,1813200.0
4114609,8877,6250800.0
3147956,1994,1338000.0
3508405,10586,7445400.0
2902203,4172,3040200.0
3115201,1035,712200.0
2803906,5392,3736800.0
2705606,4162,3016800.0
4311239,598,389400.0
3524808,10349,7096800.0
2607307,12052,8707200.0
2918605,2934,1900800.0
2410702,1077,739200.0
2509008,4195,2871600.0
2312403,20305,14511600.0
3131604,1919,1423800.0
4311254,1839,1192200.0
3541208,2969,1994400.0
3148004,32107,22550400.0
4311270,220,143400.0
2902252,3489,2542200.0
1100015,7763,5403600.0
1100023,30205,21964800.0
3164407,1387,935400.0
2509057,3643,2684400.0
4311304,5524,4040400.0
4213005,415,302400.0
3164431,930,609000.0
1100049,23432,16412400.0
1706258,513,340800.0
4114708,1532,1026000.0
3508504,20898,14567400.0
1100056,5020,3565800.0
2902302,4142,2925600.0
2804003,6178,4633200.0
3115300,14923,10603800.0
1100072,2154,1557600.0
2705705,7528,5401800.0
3524907,1456,1000200.0
2607406,1858,1306200.0
2918704,1605,1094400.0
1100080,4760,3406800.0
2410801,1527,984000.0
2509107,8468,6027000.0
2312502,2695,1811400.0
3131703,23949,16749600.0
3164472,2983,1998000.0
3541307,10722,7542000.0
1100098,8880,6226800.0
3148103,19726,14122800.0
5212501,58645,44178000.0
3164506,3273,2135400.0
1100122,34883,24793800.0
3115359,1323,915000.0
2918753,4778,3058200.0
2509156,2541,1782600.0
4311403,11556,8312400.0
4213104,862,609600.0
1100148,5708,3895200.0
4114807,9462,6472800.0
3508603,8369,5899800.0
2902401,5224,3907200.0
4311429,673,449400.0
2804102,4456,2951400.0
3525003,29069,20388000.0
2705804,3540,2534400.0
3115409,1087,765600.0
2607505,10108,6958800.0
2918803,9520,6606000.0
2410900,2893,1948200.0
2509206,5139,3786000.0
2312601,5331,3709800.0
