municipio_ibge,contagem,soma
1100106,2870,541837.0
1100379,685,114494.0
1100205,22562,3681030.0
1100940,1029,146217.0
1100304,2599,408576.0
1100114,1871,230411.0
1101476,151,23665.0
1100155,834,117565.0
1101492,861,119039.0
1101559,220,35541.0
1100064,312,46451.0
5204557,194,30045.0
1400282,1299,265865.0
1100346,1167,158858.0
1400472,3188,741229.0
1100031,159,23483.0
1100130,1658,218555.0
1501451,2560,451991.0
1502152,3637,753650.0
5212055,307,54141.0
1503044,2101,386084.0
5219738,530,119688.0
1504976,1371,266947.0
5221577,303,67247.0
1505650,2904,791674.0
5203962,417,66775.0
5203939,150,21872.0
1507466,1096,273900.0
1508035,5199,1202681.0
1600808,2379,782693.0
5201454,180,31068.0
1700301,520,99916.0
5216452,141,20253.0
5205497,6316,1224540.0
1704600,170,33063.0
1706258,89,16485.0
5200555,478,94388.0
1712157,156,31572.0
5214879,143,21106.0
1713700,322,59873.0
5107404,247,42082.0
1718451,237,48791.0
5106653,390,77795.0
5107065,815,219220.0
1720002,244,39182.0
5107198,122,21702.0
1721257,102,23502.0
2100154,2467,553502.0
1200104,3126,622366.0
1200203,10465,3366273.0
2100477,4439,1312404.0
5107263,221,42216.0
2101251,2963,518423.0
5106158,790,148813.0
5108956,384,65402.0
2101731,1671,533261.0
2101939,861,168195.0
5100359,442,85686.0
2102036,4683,895077.0
5103353,1822,409170.0
2102150,1756,481011.0
5103957,241,58151.0
2102358,2471,657354.0
1200401,22212,5126533.0
2102556,1467,288814.0
5006002,978,170545.0
2103125,1960,452704.0
1200609,7383,2554111.0
2103174,3158,860576.0
1200450,4215,1049762.0
2103752,1538,251730.0
1200344,1747,587530.0
1200054,1416,446644.0
2104081,1936,473618.0
2104552,2042,351016.0
5005251,376,86061.0
2104651,1882,486246.0
2105153,2677,751987.0
1703826,277,65247.0
2105351,2342,573955.0
2105450,1724,413389.0
2105658,952,272570.0
1712801,381,68190.0
2105948,1342,259383.0
1716307,468,86491.0
2106359,1329,263139.0
1718865,396,53900.0
2106631,1827,399262.0
2107258,784,226777.0
1300102,2926,759068.0
2107456,3325,744045.0
1300201,1902,694717.0
1300300,7464,2103357.0
2108256,5109,1097185.0
1300409,2378,469027.0
2109056,1438,306265.0
1300607,5306,1615315.0
2109270,3862,1096886.0
1300805,4907,1493774.0
2109551,925,169334.0
1301001,5885,1827658.0
2110237,1495,317466.0
1301209,9565,2287716.0
1301407,5280,1734383.0
2110856,1390,245072.0
1301605,3492,828388.0
2111052,1427,265905.0
1303601,2195,632429.0
2111250,1334,319387.0
2111532,1329,231484.0
2111631,1239,367123.0
1302108,911,292709.0
2111722,1561,311228.0
1302306,3269,1121876.0
2111763,2438,585504.0
1302504,17505,4026845.0
2111953,897,160237.0
1302702,5421,1168139.0
2112274,1307,413010.0
1302900,9272,2749601.0
1303106,4145,1120923.0
2200459,919,268551.0
1303403,15675,3545974.0
2201176,803,190983.0
1303700,4179,1216692.0
1303908,4029,1211902.0
2201572,668,142454.0
2201739,1265,279880.0
1304104,2408,402411.0
2201945,1197,276647.0
1304302,2863,681534.0
2202075,430,84896.0
1300029,2296,639847.0
2202117,1214,285853.0
1300086,1954,601325.0
2202174,1753,474042.0
1300631,4742,1363187.0
1300680,2304,669083.0
2202539,1121,186147.0
1400100,16760,2765705.0
2202653,878,208464.0
1400159,2324,654697.0
1400407,1907,687909.0
2203271,1005,234586.0
1400605,948,198617.0
1712702,157,34650.0
2204352,1100,231839.0
2204550,1049,293129.0
1718659,154,27249.0
2205276,907,204964.0
1703867,189,31573.0
2205458,1017,210041.0
2205524,955,256811.0
2205573,972,208734.0
1703305,548,148401.0
1708254,460,89493.0
2206357,1053,234503.0
1712009,178,33507.0
2206670,1108,260925.0
1717206,391,72646.0
2206753,864,155228.0
1720150,138,30205.0
2207553,766,157674.0
1721307,210,47370.0
1711902,972,245289.0
2207934,554,141262.0
1506351,2419,464004.0
2207959,994,216996.0
2208858,883,225034.0
1500131,1148,274662.0
2209450,258,77738.0
1507151,2959,610059.0
2209757,479,122971.0
1500347,2485,485053.0
1502764,1180,240523.0
1500958,3858,825817.0
2210375,357,91075.0
1504950,4251,1277932.0
2210383,275,57107.0
1507953,8189,1526663.0
1508084,1729,233898.0
2210631,632,98559.0
1500107,33738,6960977.0
2210953,592,137701.0
1500206,10956,2224345.0
1500404,11218,2031030.0
1500503,5464,1794073.0
2211704,725,112292.0
1500701,4974,1544230.0
2401859,877,223904.0
1500909,7657,1828135.0
2404853,1180,216969.0
1501105,3576,1061315.0
2409332,1134,253836.0
1501303,13450,2541205.0
2410256,978,260057.0
2411056,378,54419.0
1501501,10165,2290144.0
1501709,15158,2966370.0
2414456,814,175980.0
1501907,5262,1503859.0
1502103,19389,4100460.0
2500734,459,113503.0
1502301,7464,1224235.0
2501153,320,86005.0
1502509,3054,879765.0
2501534,910,201453.0
1502707,3118,480544.0
2502052,530,159350.0
1502905,8205,1816678.0
2503555,1469,426736.0
1503101,5928,2107944.0
2504033,1162,275099.0
2504157,1280,335674.0
1503507,6315,1050407.0
2504850,362,70597.0
1503705,6000,1247989.0
2505279,1222,309433.0
1503903,5406,1187041.0
1504109,1143,230516.0
1504208,14373,2347740.0
2509057,1938,433904.0
1504307,5951,1075870.0
1504406,3888,744868.0
2509339,740,192017.0
1504604,6457,1853623.0
2509396,1159,177739.0
1504802,9249,1617557.0
2512077,568,142002.0
1505007,2231,385037.0
2512721,1002,191859.0
1505205,6109,1706170.0
2512754,762,191464.0
1505403,3392,757428.0
2512788,360,81265.0
1505601,1035,188659.0
2513356,650,152918.0
2513653,403,106193.0
2513927,585,145854.0
1506005,7552,2253934.0
2513943,350,61310.0
1506203,4005,727793.0
2514552,602,147073.0
1506609,3410,568483.0
1506906,1868,397184.0
2516755,388,60586.0
1507102,2668,511416.0
2517407,343,73342.0
1507300,6988,1652281.0
2604155,2634,658450.0
1507508,2304,604378.0
2608057,2131,475809.0
1507706,5173,1525606.0
1507904,3780,847645.0
2614857,2806,580831.0
2701357,1410,272834.0
2703759,2178,495309.0
3102050,501,81712.0
1508308,8861,2578834.0
3102852,962,224298.0
1506161,1234,206159.0
3108552,1542,342178.0
1501576,1983,388019.0
1501758,937,188470.0
3109451,548,88663.0
1502756,5166,1301173.0
3112059,415,88106.0
3115474,852,174540.0
1504455,4282,1000163.0
3117836,1304,337693.0
1505437,3938,781446.0
3119955,61,9642.0
1505536,9291,1501750.0
1506195,3960,849131.0
3120839,332,70396.0
1600105,2121,510084.0
3121258,897,196872.0
1600204,1337,281775.0
3122470,326,49700.0
1600402,4198,1398926.0
1600279,6209,1313279.0
3127339,671,157302.0
1600600,14307,3241274.0
3127370,295,49582.0
1507458,2985,521795.0
3128253,859,174341.0
1508126,3231,721776.0
3130556,1320,239016.0
1503093,3052,552547.0
1505064,5625,1086077.0
3135357,1299,222152.0
1503754,2544,740973.0
3136520,430,78619.0
3136579,657,158599.0
1508357,1186,263846.0
3138351,395,82345.0
1200013,1609,305844.0
1200138,1395,311752.0
3138682,1010,263744.0
1200179,1495,336233.0
3140530,853,142399.0
1200252,1760,362385.0
3143153,536,141256.0
1200351,2767,854853.0
1200393,1512,494704.0
1200435,1124,435961.0
3144672,487,106338.0
3145356,1454,337524.0
1600212,767,266784.0
3145455,1207,283500.0
1600550,638,174516.0
3145877,855,124978.0
1100601,203,24560.0
3146552,630,95766.0
1100809,2715,460680.0
3148756,1169,197728.0
3150158,1268,284725.0
1100502,584,68330.0
3150570,907,171397.0
3152170,1310,318100.0
1101203,405,58964.0
1101302,687,107675.0
1101500,785,109788.0
2100105,1404,305329.0
3157336,351,49251.0
3157377,577,134388.0
2100303,3593,684600.0
3160454,1472,306457.0
2100501,1207,260436.0
3161056,435,81972.0
2100709,6011,1611104.0
3162252,802,160260.0
2100907,7118,1427401.0
3162922,2456,477246.0
2101202,12183,2281708.0
3164431,155,18711.0
2101400,8259,1521786.0
3165537,882,144908.0
2101608,9746,1631054.0
2101806,1068,261217.0
3166956,533,123899.0
2102101,6574,2003003.0
3170438,384,77342.0
3170578,690,152058.0
2102507,4354,1264027.0
3170750,239,40826.0
2102705,3541,856701.0
3171071,641,119294.0
2102903,5249,1303571.0
3201159,923,118914.0
2103109,2261,468389.0
3203320,2444,386323.0
3204252,985,206180.0
2103307,12431,2229748.0
3204955,442,76191.0
2103505,6758,1710626.0
3205176,822,114879.0
2103703,7013,1467588.0
3301876,1756,292446.0
2103901,1929,529893.0
3303955,1602,362680.0
3304755,4879,826767.0
2104305,1716,364491.0
3305554,8322,1612058.0
2104503,1604,276687.0
2104701,1019,191794.0
2104800,9689,1835548.0
3509957,382,96915.0
2105005,4639,1109563.0
3516853,147,22844.0
2105203,1799,402399.0
3525854,74,16107.0
2105302,13617,2331471.0
2111409,3458,698682.0
3532868,43,7556.0
2105401,8531,1669344.0
2105500,3548,929562.0
3541059,495,93987.0
2105807,1889,320588.0
2106003,1849,344499.0
3547650,33,5094.0
2106201,1906,471297.0
3554755,150,33116.0
2106409,3632,1201198.0
2106607,5717,1184534.0
4101853,112,18201.0
2106805,2977,688320.0
4103040,508,88790.0
2107001,1589,323455.0
4103958,355,54582.0
2107209,2295,667933.0
4104659,810,140056.0
2107407,3546,849810.0
4106852,214,28548.0
2107605,4371,1139814.0
4107546,524,118449.0
4108452,380,68509.0
2108009,3561,869309.0
4108957,341,37695.0
2108306,5676,1299961.0
2108504,3777,1165099.0
4118857,219,41069.0
2108702,4785,1022752.0
4120150,274,50475.0
