municipio_siafi,contagem,soma
8,1117.0,151549.0
9,3124.0,500864.0
15,2086.0,245122.0
21,1724.0,299125.0
24,648.0,107860.0
27,709.0,102708.0
28,2493.0,698372.0
33,1523.0,231293.0
34,1555.0,383140.0
36,3883.0,878810.0
40,5307.0,1381292.0
46,4273.0,1198102.0
47,1367.0,204241.0
48,3577.0,754157.0
53,525.0,121976.0
57,629.0,103395.0
58,1433.0,258420.0
60,3182.0,860663.0
61,481.0,76488.0
66,475.0,91262.0
67,559.0,90176.0
68,5546.0,1234700.0
69,444.0,79584.0
70,2349.0,782092.0
71,229.0,40213.0
73,308.0,51737.0
77,6024.0,1197761.0
78,183.0,34250.0
79,758.0,144404.0
81,309.0,60458.0
83,238.0,34902.0
84,248.0,51753.0
95,445.0,80156.0
97,839.0,224857.0
103,149.0,24893.0
104,2413.0,548796.0
105,3328.0,657174.0
106,4153.0,923128.0
107,10159.0,3349142.0
108,4505.0,1344879.0
109,3188.0,1088319.0
110,1335.0,340147.0
112,3981.0,1194619.0
113,4893.0,1454232.0
114,2248.0,454187.0
117,962.0,174218.0
124,898.0,171552.0
125,356.0,47966.0
130,2431.0,452098.0
131,2119.0,460199.0
132,1735.0,477134.0
134,6742.0,1210955.0
136,2542.0,671666.0
138,2012.0,656070.0
139,25173.0,5703990.0
140,1548.0,303862.0
142,2476.0,573555.0
144,1947.0,451716.0
145,6809.0,2012608.0
147,7189.0,2560215.0
148,3282.0,895650.0
149,2077.0,413185.0
150,2467.0,629035.0
151,1628.0,279800.0
152,2853.0,897961.0
153,4038.0,1016220.0
155,1717.0,588586.0
157,1410.0,445873.0
158,1956.0,476077.0
160,2916.0,833354.0
161,1301.0,340913.0
162,2250.0,375439.0
164,1107.0,262194.0
168,4267.0,1083217.0
172,2420.0,583831.0
178,2441.0,585664.0
180,940.0,270882.0
181,1323.0,306848.0
182,1975.0,503149.0
185,846.0,175942.0
192,1388.0,272188.0
204,3290.0,741825.0
205,2039.0,735069.0
206,3154.0,984567.0
207,7433.0,2106561.0
209,2550.0,496002.0
210,4898.0,1227879.0
213,5307.0,1632329.0
217,5315.0,1566579.0
219,2486.0,773864.0
221,5828.0,1842377.0
222,1201.0,285281.0
229,5203.0,1749084.0
230,1450.0,249729.0
231,2813.0,1026564.0
233,3474.0,835596.0
235,6960.0,1735589.0
239,3730.0,1073729.0
243,1593.0,350378.0
244,1218.0,366585.0
248,1661.0,325182.0
251,7921.0,2535745.0
252,2587.0,615561.0
253,17175.0,3993172.0
254,3445.0,799678.0
255,133073.0,21357262.0
257,6064.0,1239818.0
258,3309.0,514313.0
259,2842.0,1092136.0
260,1295.0,413548.0
263,3518.0,1064588.0
264,1123.0,249730.0
265,4369.0,1178648.0
266,1332.0,262464.0
268,963.0,276687.0
269,15505.0,3520025.0
270,1277.0,270192.0
271,3000.0,979353.0
272,826.0,194337.0
273,4185.0,1190872.0
280,1682.0,454377.0
281,8355.0,2321757.0
282,1153.0,278660.0
283,5559.0,1888570.0
285,2846.0,694711.0
287,3461.0,1079743.0
288,915.0,135330.0
290,1188.0,282857.0
291,1521.0,316022.0
295,4697.0,1364454.0
296,1106.0,276335.0
297,2388.0,697285.0
299,1984.0,425653.0
301,23591.0,3850293.0
308,948.0,201971.0
309,3283.0,677042.0
311,1979.0,714160.0
315,1098.0,224189.0
320,1014.0,287116.0
328,1061.0,219151.0
329,414.0,70186.0
331,293.0,50577.0
332,1015.0,269473.0
334,1019.0,234822.0
338,1016.0,216209.0
345,447.0,88406.0
348,1051.0,238521.0
354,1332.0,226680.0
355,448.0,82310.0
357,535.0,149229.0
360,481.0,106492.0
362,619.0,115254.0
364,822.0,172408.0
369,2744.0,510127.0
373,2489.0,483094.0
377,3404.0,550615.0
380,1251.0,327626.0
382,467.0,118841.0
383,2753.0,518829.0
385,1327.0,262401.0
387,1023.0,212135.0
389,4102.0,860319.0
391,4198.0,1272279.0
393,3255.0,597681.0
397,2046.0,262562.0
399,6553.0,1322982.0
401,33128.0,6954527.0
402,613.0,140810.0
403,10832.0,2174689.0
407,11110.0,2001045.0
409,5392.0,1794633.0
412,574.0,115259.0
413,5008.0,1572393.0
416,569.0,117871.0
418,1165.0,221895.0
421,3570.0,1060120.0
424,1114.0,255805.0
425,13174.0,2481718.0
426,1016.0,271155.0
427,116891.0,18544507.0
429,10006.0,2281615.0
431,2099.0,334560.0
432,811.0,193048.0
436,803.0,170545.0
437,5220.0,1516753.0
439,4560.0,1206044.0
441,19320.0,3889225.0
443,7741.0,1382405.0
445,7946.0,1284810.0
446,1229.0,271706.0
447,14329.0,2052575.0
454,1230.0,254195.0
455,5509.0,1513223.0
456,564.0,168247.0
460,1446.0,423934.0
461,5926.0,2143686.0
464,1103.0,270245.0
465,9645.0,1828077.0
468,1342.0,347197.0
469,6218.0,1019860.0
471,11959.0,2475296.0
473,6553.0,1321477.0
474,1518.0,283159.0
475,7451.0,1807560.0
483,16639.0,2664310.0
484,1936.0,440866.0
489,4052.0,1152280.0
491,6416.0,1855335.0
492,1131.0,175605.0
493,15198.0,3401219.0
495,9652.0,1649284.0
496,632.0,177155.0
497,6637.0,1581335.0
501,6554.0,1424780.0
506,895.0,226007.0
509,10134.0,1646595.0
512,732.0,167726.0
517,5791.0,1953797.0
519,7523.0,2268118.0
521,1980.0,486281.0
524,466.0,112475.0
530,276.0,74394.0
533,5044.0,873609.0
535,31035.0,5946604.0
536,734.0,150433.0
537,1778.0,371776.0
539,4319.0,782234.0
544,3287.0,857821.0
545,8021.0,1817301.0
547,2498.0,406256.0
548,1770.0,370885.0
551,7962.0,1548619.0
552,3820.0,703154.0
553,5158.0,1525310.0
555,3244.0,915476.0
560,1220.0,270742.0
562,2220.0,516846.0
570,844.0,212457.0
571,3844.0,725723.0
574,1483.0,332248.0
575,2133.0,409500.0
576,507.0,89941.0
579,5121.0,1289247.0
581,3091.0,524942.0
586,855.0,169956.0
588,1733.0,461761.0
590,1249.0,327159.0
591,3891.0,772574.0
593,7799.0,1965166.0
596,941.0,222858.0
597,4373.0,918756.0
600,1397.0,350711.0
601,2127.0,515192.0
605,33653.0,6669439.0
606,374.0,56310.0
607,4172.0,1396916.0
608,815.0,155494.0
613,6064.0,1297691.0
617,1967.0,591269.0
619,3127.0,532609.0
622,836.0,171123.0
623,3537.0,767900.0
625,7201.0,1619060.0
626,1295.0,240454.0
631,2554.0,761720.0
635,2310.0,423553.0
636,652.0,130756.0
637,2635.0,605288.0
638,674.0,159285.0
640,921.0,195915.0
641,1401.0,308006.0
643,1790.0,323917.0
645,1360.0,303563.0
647,1399.0,292955.0
649,2628.0,586070.0
650,853.0,139795.0
651,1934.0,385900.0
652,641.0,126531.0
653,1314.0,507167.0
654,568.0,146402.0
655,2751.0,876614.0
656,801.0,211495.0
657,1494.0,504170.0
659,2560.0,767852.0
660,1378.0,254504.0
661,1114.0,433070.0
662,549.0,115574.0
663,1859.0,519481.0
664,1100.0,222552.0
669,1609.0,451217.0
670,1188.0,283976.0
671,2481.0,667202.0
673,638.0,172729.0
676,916.0,255800.0
680,937.0,216001.0
681,2617.0,442425.0
682,1211.0,203295.0
686,1233.0,278899.0
688,482.0,93240.0
690,975.0,180255.0
692,695.0,167974.0
693,834.0,118282.0
701,1394.0,307634.0
702,376.0,51097.0
703,5554.0,1260713.0
704,624.0,143035.0
706,1245.0,334726.0
707,1398.0,251514.0
708,1451.0,305453.0
713,5840.0,1581805.0
715,3523.0,1126111.0
718,2018.0,574076.0
720,608.0,141902.0
722,2337.0,457058.0
723,12901.0,2349018.0
726,166.0,19365.0
727,9196.0,1646644.0
730,1125.0,187375.0
732,1804.0,498271.0
736,526.0,121982.0
738,588.0,112749.0
740,234.0,28237.0
741,4920.0,1246783.0
742,411.0,80849.0
746,838.0,178227.0
747,4364.0,1272247.0
749,3910.0,875925.0
751,3699.0,885182.0
752,1218.0,285435.0
754,666.0,119575.0
757,18858.0,3170773.0
761,13454.0,3464479.0
763,13282.0,2284508.0
765,6832.0,1371454.0
767,6947.0,1762899.0
769,9505.0,2169043.0
771,6934.0,1461609.0
773,3880.0,688831.0
774,1899.0,313836.0
777,3406.0,833230.0
778,1792.0,397313.0
779,2037.0,463219.0
782,5423.0,910777.0
786,8029.0,1609100.0
789,2667.0,693922.0
790,137.0,30195.0
795,2487.0,554523.0
797,4877.0,1156830.0
799,4571.0,1296432.0
803,14790.0,2454111.0
805,3595.0,717659.0
811,2637.0,523555.0
813,7880.0,1659173.0
815,1940.0,318103.0
817,2980.0,883398.0
819,1968.0,364084.0
821,1918.0,480238.0
826,137.0,31392.0
827,3491.0,1155139.0
829,5889.0,1494342.0
830,381.0,67571.0
833,3523.0,1023217.0
835,3011.0,695453.0
836,621.0,106926.0
844,946.0,159810.0
847,3507.0,863398.0
851,4297.0,1136985.0
853,4335.0,1128171.0
859,3509.0,867762.0
862,943.0,141407.0
863,5977.0,1346851.0
866,480.0,99993.0
867,3958.0,1214940.0
869,12736.0,2522847.0
871,4680.0,1012042.0
881,2428.0,713124.0
884,654.0,104183.0
889,22398.0,3926141.0
891,5714.0,1003832.0
895,7464.0,1463672.0
901,5575.0,1293616.0
903,2829.0,468807.0
905,3605.0,1176360.0
907,7151.0,1709839.0
909,5205.0,1315965.0
911,5198.0,1053053.0
912,468.0,95656.0
915,2526.0,644567.0
917,5268.0,1246476.0
919,3396.0,598302.0
921,79744.0,12890428.0
925,2338.0,477544.0
927,5263.0,1108530.0
929,3182.0,727304.0
931,2133.0,622182.0
932,73.0,13469.0
937,21023.0,3983778.0
938,131.0,23784.0
949,8934.0,1564657.0
951,5320.0,1247803.0
954,984.0,211496.0
955,5526.0,1301856.0
957,9116.0,1823917.0
958,313.0,69967.0
959,3705.0,639780.0
963,3672.0,582650.0
964,273.0,51265.0
965,3960.0,1120648.0
967,2543.0,913810.0
969,1594.0,315843.0
971,4863.0,1009567.0
977,795.0,122511.0
983,2080.0,477258.0
994,331.0,49262.0
995,746.0,158798.0
1003,2456.0,489658.0
1005,2555.0,454398.0
1007,4135.0,655044.0
1013,1682.0,260390.0
1015,510.0,132951.0
1017,1073.0,270162.0
1020,158.0,24455.0
1021,2525.0,650336.0
1023,8903.0,2422472.0
1029,4618.0,1173974.0
1033,1022.0,255177.0
1037,3761.0,776723.0
1039,3581.0,975300.0
1041,1183.0,253187.0
1045,3934.0,759383.0
1048,384.0,97026.0
1052,17693.0,3700410.0
1057,3680.0,730997.0
1060,196.0,28702.0
1064,161.0,22310.0
1065,2750.0,608153.0
1068,537.0,75658.0
1073,6363.0,1453323.0
1074,339.0,46284.0
1075,976.0,193284.0
1076,118.0,22172.0
1081,731.0,159722.0
1083,1206.0,212308.0
1086,456.0,132758.0
1089,1475.0,357386.0
1092,233.0,35623.0
1093,2419.0,405518.0
1095,1514.0,231331.0
1096,123.0,22242.0
1097,1788.0,378875.0
1099,1930.0,312807.0
1112,9215.0,1859698.0
1113,5124.0,907749.0
1114,484.0,61347.0
1116,13144.0,2607363.0
1119,906.0,150255.0
1131,1838.0,496805.0
1135,2103.0,467218.0
1139,5826.0,1002229.0
1141,783.0,186468.0
1143,1431.0,335632.0
1149,2851.0,540562.0
1151,2110.0,539302.0
1153,10781.0,1524139.0
1155,3676.0,607178.0
1157,6750.0,1832358.0
1161,1957.0,473007.0
1165,4784.0,1117201.0
1169,2304.0,658613.0
1171,724.0,172384.0
1173,1979.0,575807.0
1175,3680.0,800045.0
1180,2014.0,459003.0
1181,1034.0,214475.0
1183,934.0,242954.0
1184,245.0,51613.0
1189,717.0,157366.0
1192,756.0,162964.0
1194,396.0,102578.0
1199,3039.0,701562.0
1201,781.0,152676.0
1205,1062.0,250893.0
1207,2697.0,478309.0
1209,2802.0,569855.0
1211,5193.0,1211630.0
1213,1949.0,355961.0
1217,930.0,208216.0
1219,59761.0,12328494.0
1223,3135.0,720806.0
1233,2779.0,496594.0
1239,3492.0,641499.0
1241,3123.0,840185.0
1247,5285.0,828385.0
1249,2510.0,438732.0
1257,2676.0,535449.0
1261,3166.0,726288.0
1263,2176.0,423693.0
1265,4053.0,766269.0
1271,1114.0,220516.0
1277,3894.0,983712.0
1281,4903.0,967069.0
1283,3553.0,827791.0
1285,3766.0,1130878.0
1287,6752.0,1169428.0
1289,1958.0,404644.0
1295,521.0,128736.0
1299,1766.0,467565.0
1303,9770.0,2570935.0
1305,8966.0,2101442.0
1307,2993.0,738059.0
1315,1859.0,415330.0
1317,2760.0,552394.0
1331,4086.0,954283.0
1333,3754.0,601931.0
1337,6822.0,1100508.0
1341,6230.0,1092727.0
1343,8842.0,1841699.0
1345,4549.0,844137.0
1347,9110.0,2196996.0
1349,6234.0,957784.0
1353,3839.0,575382.0
1355,13022.0,2271286.0
1359,3683.0,901841.0
1361,2774.0,644750.0
1363,4654.0,1243462.0
1365,2758.0,568699.0
1367,2182.0,488020.0
1369,10451.0,1910726.0
1373,32831.0,5851307.0
1377,2197.0,602265.0
1381,3782.0,800832.0
1383,8183.0,1462085.0
1385,14312.0,2587282.0
1389,206333.0,39543343.0
1393,1433.0,373830.0
1395,7463.0,1415490.0
1401,6660.0,1560319.0
1403,646.0,112014.0
1405,2838.0,531562.0
1409,10953.0,2540764.0
1411,10689.0,1857097.0
1413,5140.0,1200797.0
1415,2294.0,525637.0
1423,4364.0,843820.0
1425,992.0,200270.0
1429,19775.0,4339801.0
1431,3544.0,706310.0
1433,3771.0,1069189.0
1435,3585.0,660507.0
1437,1612.0,299476.0
1441,5651.0,1046899.0
1443,4131.0,831592.0
1447,20919.0,3200625.0
1449,3939.0,1050567.0
1467,5075.0,1175447.0
1469,5718.0,1018073.0
1475,11083.0,2100833.0
1477,1490.0,388200.0
1483,1977.0,507609.0
1485,2822.0,734198.0
1487,3808.0,617655.0
1489,5495.0,1043227.0
1491,4466.0,902523.0
1493,7094.0,1141076.0
1501,1453.0,307877.0
1507,3644.0,539635.0
1509,2011.0,457286.0
1511,6906.0,1127773.0
1519,2331.0,496037.0
1523,2388.0,352044.0
1525,1337.0,308924.0
1527,13053.0,2125560.0
1541,5210.0,1347567.0
1543,3033.0,702431.0
1545,6698.0,1097388.0
1563,3994.0,694446.0
1565,4591.0,1157068.0
1569,11168.0,2110575.0
1571,11748.0,2611694.0
1573,4944.0,940987.0
1583,10279.0,2182536.0
1585,19381.0,3401281.0
1587,6669.0,1224375.0
1589,3713.0,813984.0
1591,3242.0,509944.0
1593,3110.0,674496.0
1595,6797.0,1464084.0
1597,2537.0,459734.0
1599,4808.0,819986.0
1601,1206.0,225857.0
1603,6998.0,1292342.0
1609,1925.0,467451.0
1613,1407.0,238659.0
1615,1778.0,385167.0
1617,1362.0,329931.0
1619,5968.0,1155285.0
1623,1802.0,410901.0
1637,697.0,201731.0
1641,1989.0,444056.0
1643,4926.0,1225811.0
1645,3410.0,674561.0
1649,1888.0,427777.0
1655,1023.0,206801.0
1657,673.0,157133.0
1661,3868.0,575556.0
1665,820.0,195020.0
1667,1082.0,218630.0
1689,2001.0,406254.0
1701,840.0,165684.0
1705,1563.0,354525.0
1709,2072.0,325264.0
1711,910.0,130301.0
1719,2606.0,582524.0
1721,769.0,153294.0
1751,751.0,150164.0
1759,19831.0,2991316.0
1761,47804.0,9354140.0
1765,5790.0,1379661.0
1771,666.0,164913.0
1779,12301.0,2038243.0
1787,3160.0,463169.0
1803,1034.0,173297.0
1809,754.0,192887.0
1821,590.0,142570.0
1823,4221.0,693931.0
1829,3895.0,660271.0
1831,526.0,94830.0
1837,10488.0,1764420.0
1841,4610.0,743929.0
1845,353.0,77490.0
1847,3090.0,801333.0
1853,1464.0,269881.0
1855,1882.0,408481.0
1859,1353.0,338285.0
1861,572.0,115841.0
1863,1058.0,286917.0
1867,1291.0,261847.0
1875,1877.0,344275.0
1877,2466.0,569899.0
1885,5189.0,1003241.0
1889,2151.0,334114.0
1895,1352.0,184710.0
1905,4730.0,813429.0
1913,2651.0,685762.0
1917,2297.0,404652.0
1921,3456.0,624610.0
1925,3760.0,1007963.0
1927,2076.0,442872.0
1929,1745.0,395268.0
1933,2655.0,631939.0
1935,1293.0,306117.0
1937,12786.0,2231123.0
1939,2450.0,428454.0
1941,1324.0,290191.0
1949,1637.0,399606.0
1951,3073.0,707524.0
1953,1048.0,246274.0
1957,2165.0,418063.0
1959,1035.0,252333.0
1963,748.0,106083.0
1965,6808.0,1512099.0
1969,807.0,187212.0
1975,8034.0,1924697.0
1977,1122.0,245570.0
1979,1185.0,236127.0
1981,24048.0,3271661.0
1987,4168.0,677393.0
1997,2770.0,755845.0
1999,3539.0,633071.0
2011,504.0,121842.0
2013,1207.0,260219.0
2015,1748.0,447208.0
2019,553.0,112920.0
2021,5170.0,1117227.0
2023,2169.0,505464.0
2029,2457.0,630583.0
2035,1802.0,490294.0
2037,4258.0,948508.0
2039,4371.0,781407.0
2045,1993.0,501318.0
2049,1240.0,207380.0
2053,1476.0,250791.0
2059,1403.0,356017.0
2061,1665.0,350352.0
2063,826.0,198315.0
2065,1452.0,374884.0
2067,3398.0,532580.0
2081,1974.0,335470.0
2083,3986.0,977783.0
2087,1542.0,339696.0
2089,2644.0,747058.0
2093,729.0,194573.0
2095,5231.0,884591.0
2097,1772.0,388009.0
2099,1240.0,266621.0
2103,1942.0,534882.0
2105,1140.0,260442.0
2109,1211.0,300148.0
2111,656.0,135504.0
2117,10562.0,1650421.0
2125,4403.0,917821.0
2127,2718.0,515130.0
2129,3047.0,774790.0
2143,4469.0,903143.0
2151,6617.0,1144242.0
2155,2880.0,826273.0
2157,1519.0,297488.0
2159,4152.0,718732.0
2163,1756.0,476682.0
2167,1437.0,329958.0
2169,2161.0,395447.0
2171,767.0,128358.0
2173,1185.0,341122.0
2175,12306.0,1976505.0
2179,3889.0,654324.0
2181,694.0,154303.0
2185,1197.0,252060.0
2191,2956.0,800151.0
2207,8900.0,2284263.0
2209,1983.0,434122.0
2211,2215.0,485243.0
2223,2006.0,367895.0
2225,10862.0,2785313.0
2233,2411.0,676758.0
2241,1404.0,394445.0
2245,1939.0,459528.0
2253,1418.0,297232.0
2255,975.0,246229.0
2261,931.0,185636.0
2263,1017.0,224912.0
2265,1046.0,256067.0
2267,1182.0,240070.0
2273,1260.0,229508.0
2275,1819.0,432240.0
2279,1353.0,306261.0
2281,602.0,87348.0
2285,1013.0,225421.0
2289,2470.0,550579.0
2297,2347.0,592932.0
2299,2123.0,369672.0
2301,4974.0,792435.0
2303,4291.0,983090.0
2305,3623.0,1010134.0
2307,3870.0,660675.0
2309,9355.0,2530306.0
2313,6059.0,1447247.0
2315,3977.0,877400.0
2319,1943.0,513830.0
2323,8132.0,1370032.0
2327,7255.0,1509907.0
2329,2235.0,478103.0
2331,4407.0,1164387.0
2333,10226.0,2221919.0
2337,9925.0,1945555.0
2339,7224.0,1269341.0
2341,7808.0,1404227.0
2345,6211.0,1314548.0
2351,7702.0,1212265.0
2353,2486.0,471329.0
2355,9263.0,2055968.0
2359,6403.0,1591741.0
2363,4988.0,1360199.0
2369,3287.0,868933.0
2373,3523.0,752390.0
2377,2479.0,490246.0
2379,9834.0,1807553.0
2381,27909.0,4723313.0
2385,1677.0,403317.0
2391,2658.0,586879.0
2395,2067.0,427755.0
2397,3499.0,824910.0
2401,6450.0,1533433.0
2403,9513.0,2051420.0
2405,6397.0,1716071.0
2407,4802.0,957731.0
2409,1575.0,363880.0
2411,3987.0,944014.0
2413,4804.0,1055406.0
2415,3135.0,766401.0
2417,3983.0,780627.0
