municipio_siafi,contagem,soma
105,3334.0,664960.0
107,10158.0,3375887.0
109,3192.0,1092596.0
113,4887.0,1464724.0
139,25122.0,5794961.0
145,6810.0,2033922.0
147,7195.0,2580512.0
149,2077.0,419388.0
151,1623.0,290629.0
153,4035.0,1016744.0
155,1717.0,593150.0
157,1410.0,448761.0
289,2314.0,620605.0
291,1540.0,320547.0
560,1220.0,270231.0
562,2216.0,512427.0
643,1784.0,329052.0
645,1360.0,313201.0
647,1381.0,289765.0
649,2639.0,591322.0
651,1934.0,391960.0
653,1321.0,510812.0
655,2755.0,884762.0
657,1495.0,508314.0
659,2558.0,771121.0
661,1116.0,435752.0
971,4852.0,1022983.0
2641,2042.0,360386.0
2643,2521.0,612336.0
2645,1712.0,445169.0
2701,2884.0,884149.0
2703,2704.0,485681.0
2705,17982.0,3726355.0
2707,6926.0,1414950.0
2709,3538.0,691886.0
2711,1184.0,257148.0
2713,3106.0,725157.0
2715,840.0,181199.0
2717,1295.0,315764.0
2719,3562.0,786417.0
2721,1728.0,302476.0
2723,1959.0,441941.0
2725,3270.0,610679.0
2727,5476.0,917617.0
2729,2185.0,628056.0
2731,4123.0,1134165.0
2733,2048.0,446373.0
2735,1623.0,492272.0
2737,1192.0,345272.0
2739,1515.0,333363.0
2741,3501.0,824142.0
2743,747.0,130588.0
2745,5042.0,940219.0
2747,6080.0,1251130.0
2749,1842.0,288407.0
2751,4052.0,891845.0
2753,676.0,109536.0
2755,2003.0,413828.0
2757,5459.0,1571497.0
2759,2376.0,522637.0
2761,4730.0,1247937.0
2763,3322.0,571518.0
2765,2639.0,647562.0
2767,1090.0,206007.0
2769,1022.0,174374.0
2771,1749.0,363946.0
2773,993.0,240897.0
2775,2939.0,575821.0
2777,706.0,193482.0
2779,3593.0,661668.0
2781,3133.0,753483.0
2783,4037.0,999554.0
2785,53908.0,10141217.0
2787,3264.0,728104.0
2789,4474.0,904048.0
2791,2640.0,486639.0
2793,6530.0,1476853.0
2795,1951.0,359467.0
2797,656.0,145562.0
2799,3449.0,720766.0
2801,3247.0,633754.0
2803,1628.0,322044.0
2805,732.0,191004.0
2807,1508.0,351265.0
2809,3754.0,852121.0
2811,1716.0,401060.0
2813,2721.0,433363.0
2815,1636.0,393513.0
2817,1294.0,369023.0
2819,2084.0,586960.0
2821,2491.0,564711.0
2823,904.0,165572.0
2825,10444.0,1917771.0
2827,3620.0,598356.0
2829,1912.0,397715.0
2831,1248.0,242311.0
2833,8979.0,1766311.0
2835,3849.0,828795.0
2837,5312.0,1016726.0
2839,319.0,72392.0
2841,3757.0,916732.0
2843,2646.0,704678.0
2845,4594.0,854631.0
2847,1619.0,296372.0
2849,4073.0,955501.0
2851,2180.0,602006.0
2853,9208.0,1675335.0
2855,1186.0,258120.0
2857,936.0,183105.0
2859,7708.0,1808681.0
2861,1784.0,308454.0
2863,1076.0,228083.0
2865,3197.0,616779.0
2867,5744.0,1539516.0
2869,5606.0,1003418.0
2871,6955.0,1238357.0
2873,1222.0,214366.0
2875,5460.0,1334545.0
2877,1615.0,336845.0
2879,982.0,214537.0
2881,2494.0,515498.0
2883,3679.0,969298.0
2885,8543.0,1484238.0
2887,4173.0,844945.0
2889,3704.0,1026513.0
2891,2346.0,594909.0
70,2345.0,782115.0
201,2198.0,482161.0
203,2880.0,742193.0
205,2054.0,740791.0
207,7453.0,2100387.0
209,2715.0,512882.0
211,5333.0,1706459.0
213,5327.0,1655424.0
215,4907.0,1127767.0
217,5335.0,1576938.0
219,2488.0,776114.0
221,5811.0,1831014.0
223,5556.0,1051979.0
225,9985.0,2378604.0
227,3417.0,802979.0
229,5209.0,1759064.0
231,2814.0,1030171.0
233,3471.0,843444.0
235,6959.0,1748889.0
237,2215.0,634959.0
239,3735.0,1073417.0
241,10844.0,2569007.0
243,1591.0,351236.0
245,991.0,319146.0
247,1585.0,503239.0
249,3294.0,1144897.0
251,7942.0,2549526.0
253,17152.0,3996858.0
255,132981.0,22599016.0
257,6065.0,1253766.0
259,2836.0,1090986.0
261,9155.0,2729265.0
263,3521.0,1067987.0
265,4367.0,1185297.0
267,3206.0,883701.0
269,15499.0,3517339.0
271,3003.0,983914.0
273,4188.0,1198011.0
275,4263.0,1272134.0
277,1939.0,530263.0
279,2549.0,449328.0
281,8339.0,2328284.0
283,5698.0,1923058.0
285,2842.0,697098.0
287,3458.0,1077552.0
293,1953.0,612742.0
295,4706.0,1368011.0
297,2389.0,706342.0
299,1978.0,428088.0
601,2111.0,509804.0
603,1329.0,283278.0
605,33656.0,6777195.0
607,4163.0,1388966.0
609,2049.0,364871.0
611,749.0,154972.0
613,6053.0,1301234.0
615,13895.0,3213436.0
617,1964.0,594255.0
663,1857.0,519466.0
665,811.0,210872.0
667,779.0,276596.0
669,1600.0,448735.0
671,2475.0,664150.0
673,635.0,172034.0
965,3947.0,1114865.0
967,2542.0,918005.0
969,1600.0,321136.0
3253,3173.0,529899.0
3301,1531.0,300977.0
3303,3842.0,795842.0
3305,2755.0,442648.0
3307,2767.0,644998.0
3311,667.0,109501.0
3313,19584.0,3575534.0
9835,11257.0,2058936.0
9837,1591.0,500472.0
9839,3126.0,706049.0
9841,3636.0,771885.0
9843,3166.0,585774.0
9845,1496.0,327333.0
9847,7052.0,1341138.0
9849,2294.0,785526.0
9851,3175.0,845728.0
1110,2287.0,473462.0
3071,2485.0,428349.0
3073,1903.0,411146.0
3075,2591.0,469992.0
3079,4029.0,1132093.0
3081,1597.0,218062.0
3083,3760.0,662738.0
3085,3188.0,752397.0
3087,9618.0,1692553.0
3089,3561.0,687415.0
3117,9358.0,1676382.0
