municipio_siafi,contagem,soma
105,3291.0,658226.0
107,10281.0,3366074.0
109,3178.0,1084410.0
113,4864.0,1449150.0
139,25039.0,5715346.0
145,6810.0,2020129.0
147,7214.0,2570386.0
149,2074.0,415937.0
151,1602.0,287757.0
153,3989.0,1005441.0
155,1702.0,586799.0
157,1407.0,447167.0
203,2868.0,738374.0
289,2284.0,614905.0
291,1509.0,316017.0
293,1939.0,608863.0
560,1365.0,268404.0
562,2249.0,506353.0
643,1731.0,321067.0
645,1347.0,309315.0
647,1361.0,284784.0
649,2641.0,591588.0
651,1916.0,389402.0
653,1315.0,507369.0
655,2746.0,877917.0
657,1488.0,505204.0
659,2553.0,770240.0
661,1106.0,431232.0
971,5255.0,1006163.0
2641,2125.0,359741.0
2643,2579.0,608665.0
2645,1701.0,436847.0
2701,2946.0,879115.0
2703,2753.0,480874.0
2705,19619.0,3687432.0
2707,7559.0,1399448.0
2709,3723.0,685124.0
2711,1202.0,251872.0
2713,3175.0,722077.0
2715,846.0,180321.0
2717,1303.0,313787.0
2719,3800.0,778442.0
2721,1845.0,299428.0
2723,1979.0,438533.0
2725,3551.0,600265.0
2727,5891.0,912244.0
2729,2229.0,625207.0
2731,4241.0,1128293.0
2733,2180.0,442099.0
2735,1657.0,490431.0
2737,1229.0,343688.0
2739,1533.0,329385.0
2741,3949.0,815891.0
2743,743.0,127357.0
2745,5498.0,931615.0
2747,6284.0,1245257.0
2749,1849.0,284829.0
2751,4325.0,886828.0
2753,690.0,108438.0
2755,2140.0,408866.0
2757,5624.0,1561540.0
2759,2447.0,515379.0
2761,4917.0,1242031.0
2763,3471.0,562181.0
2765,2759.0,645025.0
2767,1084.0,203246.0
2769,1097.0,172878.0
2771,1826.0,360572.0
2773,996.0,238209.0
2775,3354.0,574144.0
2777,751.0,191051.0
2779,3882.0,657393.0
2781,3199.0,748081.0
2783,4163.0,993124.0
2785,60682.0,9993588.0
2787,3337.0,725377.0
2789,4967.0,895448.0
2791,2611.0,479894.0
2793,7041.0,1465558.0
2795,1998.0,355989.0
2797,663.0,144240.0
2799,3544.0,715364.0
2801,3545.0,624385.0
2803,1710.0,319343.0
2805,733.0,189033.0
2807,1506.0,346312.0
2809,4104.0,847041.0
2811,1955.0,397455.0
2813,2759.0,429889.0
2815,1647.0,388980.0
2817,1284.0,364801.0
2819,2103.0,580945.0
2821,2501.0,560233.0
2823,897.0,163434.0
2825,10806.0,1900902.0
2827,3665.0,594154.0
2829,2104.0,393984.0
2831,1257.0,241327.0
2833,9547.0,1755620.0
2835,3959.0,821895.0
2837,5628.0,1009018.0
2839,319.0,72041.0
2841,3849.0,907952.0
2843,2639.0,697816.0
2845,5210.0,847172.0
2847,1692.0,292655.0
2849,4126.0,946937.0
2851,2197.0,597457.0
2853,9782.0,1666221.0
2855,1225.0,254907.0
2857,942.0,181107.0
2859,7933.0,1796753.0
2861,1818.0,302426.0
2863,1064.0,224390.0
2865,3350.0,612940.0
2867,5908.0,1524506.0
2869,6180.0,990087.0
2871,7503.0,1224421.0
2873,1244.0,209500.0
2875,5864.0,1326141.0
2877,1642.0,333490.0
2879,997.0,212514.0
2881,2630.0,511680.0
2883,3746.0,963416.0
2885,9429.0,1470593.0
2887,4405.0,838976.0
2889,3902.0,1020664.0
2891,2379.0,588475.0
4123,64682.0,11498736.0
70,2327.0,777656.0
201,2183.0,477242.0
205,2005.0,718826.0
207,7410.0,2092890.0
209,2524.0,483109.0
211,5258.0,1689717.0
213,5276.0,1642634.0
215,4914.0,1103585.0
217,5283.0,1563408.0
219,2478.0,770034.0
221,5809.0,1818509.0
223,5507.0,1042317.0
225,9953.0,2361650.0
227,3403.0,800203.0
229,5212.0,1736710.0
231,2813.0,1022330.0
233,3451.0,839325.0
235,6892.0,1731617.0
237,2135.0,616283.0
239,3695.0,1061047.0
241,10793.0,2554553.0
243,1587.0,350479.0
245,975.0,317267.0
247,1571.0,497199.0
249,3277.0,1139829.0
251,7970.0,2525970.0
253,17101.0,3969309.0
255,133606.0,22293193.0
257,6040.0,1250170.0
259,2826.0,1087352.0
261,9105.0,2714845.0
263,3507.0,1063958.0
265,4323.0,1175658.0
267,3180.0,878787.0
269,15462.0,3504494.0
271,3017.0,977516.0
273,4138.0,1187080.0
275,4208.0,1259608.0
277,1926.0,527015.0
279,2519.0,449280.0
281,8282.0,2314302.0
283,5429.0,1856227.0
285,2819.0,695004.0
287,3410.0,1067132.0
295,4679.0,1365386.0
297,2378.0,703323.0
299,1967.0,425314.0
601,2083.0,504565.0
603,1310.0,279006.0
605,33543.0,6735838.0
607,4127.0,1379272.0
609,2015.0,358224.0
611,739.0,152991.0
613,5988.0,1286911.0
615,13773.0,3179097.0
617,1941.0,588455.0
663,1820.0,506888.0
665,800.0,207972.0
667,771.0,272818.0
669,1572.0,441822.0
671,2451.0,657607.0
673,628.0,170524.0
965,3916.0,1107206.0
967,2530.0,910981.0
969,1565.0,315613.0
3253,3189.0,525097.0
3301,1512.0,297601.0
3303,3862.0,792471.0
3305,2763.0,438625.0
3307,2761.0,642019.0
3311,657.0,108096.0
3313,19889.0,3536178.0
9835,11188.0,2045377.0
9837,1576.0,493356.0
9839,3105.0,702007.0
9841,3604.0,765724.0
9843,3148.0,583831.0
9845,1495.0,327336.0
9847,6900.0,1312220.0
9849,2285.0,783793.0
9851,3124.0,836386.0
1110,2280.0,468998.0
3071,2449.0,421763.0
3073,1884.0,406367.0
3075,2579.0,465832.0
3079,3990.0,1117082.0
3081,1584.0,216570.0
3083,3749.0,656687.0
3085,3169.0,744997.0
3087,9593.0,1671594.0
3089,3572.0,680171.0
3117,9273.0,1650854.0
3255,2613.0,449662.0
3257,1366.0,345719.0
3259,2165.0,415185.0
3261,2041.0,466766.0
3263,1711.0,427117.0
3265,2773.0,546885.0
3267,3142.0,814912.0
3269,2582.0,643797.0
3271,1560.0,319567.0
3273,1165.0,221228.0
3275,869.0,171618.0
3309,1199.0,266413.0
3315,3014.0,510716.0
3317,1203.0,248171.0
3319,4911.0,846405.0
3321,3314.0,503672.0
3323,4469.0,875426.0
3325,2776.0,639570.0
3327,2598.0,654994.0
3329,1578.0,304102.0
3331,2257.0,357433.0
3333,2364.0,519476.0
3335,1872.0,445653.0
3337,3042.0,629832.0
3339,2356.0,472673.0
3341,9057.0,1586136.0
3343,1834.0,354674.0
3345,1835.0,412530.0
3347,2345.0,577623.0
3349,2554.0,736131.0
3351,3504.0,729929.0
3353,8389.0,1858867.0
3355,3765.0,622418.0
3357,5606.0,1180814.0
3359,2282.0,418706.0
3361,944.0,208078.0
3363,11104.0,1737662.0
3365,1298.0,266259.0
3367,3052.0,500767.0
3369,2543.0,465973.0
3371,3568.0,808946.0
3373,2738.0,592881.0
3375,3716.0,1002291.0
3377,8539.0,1741149.0
3379,2163.0,419670.0
3381,3251.0,845171.0
3383,1851.0,374777.0
3385,1859.0,362705.0
3387,1367.0,246818.0
3389,1974.0,411900.0
3391,5632.0,819086.0
3393,2100.0,342320.0
3395,990.0,162397.0
3397,5611.0,1052689.0
3399,1793.0,257745.0
3401,2207.0,520397.0
3403,5671.0,859649.0
3405,3284.0,815960.0
3407,2464.0,538165.0
3409,3171.0,828912.0
3411,3329.0,639639.0
3413,27039.0,4481116.0
3415,5108.0,921578.0
3417,4828.0,1371616.0
3419,12909.0,2414087.0
3421,1414.0,313509.0
3423,4607.0,976996.0
3425,5173.0,1041780.0
3427,1510.0,344499.0
3429,8370.0,1337859.0
3431,2076.0,501163.0
3433,4223.0,821796.0
3435,7037.0,1771339.0
3437,3187.0,593287.0
3439,1788.0,448542.0
3441,5554.0,1428674.0
3443,12392.0,2442494.0
3445,4416.0,853183.0
3447,584.0,151732.0
3449,6794.0,1003851.0
3451,2035.0,311763.0
3453,1887.0,557345.0
3455,5381.0,869232.0
3457,3087.0,711101.0
3459,3711.0,561772.0
3461,3179.0,702549.0
3463,3201.0,637398.0
3465,3254.0,634395.0
3467,10158.0,1594265.0
3469,4297.0,714737.0
3471,4415.0,935719.0
3473,2502.0,540120.0
3475,754.0,115370.0
3477,6537.0,1178497.0
3479,1129.0,184549.0
3481,2846.0,651148.0
3483,3962.0,908649.0
3485,4718.0,1049646.0
3487,2464.0,551264.0
3489,836.0,173707.0
3491,4047.0,687973.0
3493,2080.0,362490.0
3495,6392.0,919797.0
3497,6224.0,1358966.0
3499,2083.0,451117.0
3501,1646.0,352601.0
3503,689.0,142822.0
3505,1117.0,175814.0
3507,3436.0,732527.0
3509,4822.0,755397.0
3511,3877.0,804901.0
3513,9989.0,2324559.0
3515,36590.0,5244684.0
1112,9107.0,1841138.0
3069,1263.0,249710.0
3091,3648.0,786005.0
3093,1116.0,195984.0
3095,1087.0,274561.0
3097,2027.0,374125.0
3099,3652.0,563482.0
3277,2178.0,428685.0
3279,5145.0,1347579.0
3281,2317.0,494597.0
3283,2804.0,537415.0
3285,1704.0,354741.0
3287,1547.0,316362.0
3289,1862.0,464220.0
3291,1526.0,293438.0
3293,2311.0,383195.0
3295,2141.0,524509.0
3297,1506.0,240593.0
3517,1003.0,156014.0
3519,1632.0,304563.0
3521,3839.0,675949.0
3523,4710.0,967388.0
3525,1776.0,434004.0
3527,2398.0,411119.0
3529,1517.0,357316.0
3531,2961.0,479687.0
3533,10339.0,1958351.0
3535,3449.0,689458.0
3537,4807.0,1098574.0
3539,1271.0,203283.0
3541,3706.0,758606.0
3543,2816.0,511588.0
3545,2859.0,574989.0
3547,3040.0,558409.0
3551,1774.0,298652.0
3553,956.0,211599.0
3555,3055.0,466958.0
3557,1007.0,224414.0
3559,3131.0,588879.0
3561,2252.0,516791.0
3563,3564.0,650660.0
3565,3092.0,515896.0
3567,1029.0,232706.0
3569,2438.0,406621.0
3571,4350.0,1114344.0
3573,19302.0,2858428.0
3575,5486.0,860162.0
3577,2412.0,587706.0
3579,6986.0,1303784.0
3581,7272.0,1118737.0
3583,1552.0,397716.0
3585,1242.0,306718.0
3587,1878.0,413962.0
3589,4227.0,870836.0
3591,6071.0,1565911.0
3593,9645.0,1820890.0
3595,8998.0,1375348.0
3597,16928.0,2524552.0
3599,3807.0,800537.0
3601,3321.0,831590.0
3603,2453.0,629415.0
3605,2576.0,412164.0
3607,1049.0,172198.0
3609,1225.0,251683.0
3611,2997.0,503340.0
3613,8383.0,1438979.0
3615,1423.0,294726.0
3617,3297.0,599650.0
3619,1489.0,303197.0
3621,2594.0,478385.0
3623,4004.0,1015145.0
3625,1738.0,370673.0
3627,1800.0,264531.0
3629,5948.0,972912.0
3631,6939.0,1148691.0
3633,1048.0,169963.0
