municipio_siafi,contagem,soma
1,60.0,9200.0
2,15.0,2611.0
3,1014.0,148783.0
4,53.0,7718.0
5,98.0,12231.0
6,20.0,3758.0
7,220.0,30387.0
8,29.0,3789.0
9,188.0,27739.0
10,1.0,89.0
11,55.0,8842.0
12,5.0,739.0
13,232.0,36899.0
14,11.0,1815.0
15,98.0,11670.0
16,4.0,595.0
17,48.0,5470.0
19,75.0,10415.0
20,28.0,4083.0
21,56.0,8178.0
22,9.0,1420.0
23,12.0,1487.0
24,16.0,2093.0
25,44.0,6822.0
26,70.0,15325.0
27,23.0,2743.0
28,88.0,22067.0
29,98.0,11909.0
30,24.0,4295.0
31,7.0,1012.0
32,42.0,7404.0
33,44.0,6192.0
34,47.0,9524.0
35,41.0,5028.0
36,120.0,23069.0
37,5.0,677.0
38,31.0,13565.0
39,39.0,4607.0
40,123.0,26346.0
41,35.0,4574.0
42,5.0,1101.0
43,13.0,2066.0
44,30.0,4659.0
45,24.0,2984.0
46,56.0,11914.0
47,16.0,1673.0
48,138.0,26332.0
49,3.0,440.0
50,19.0,3935.0
51,10.0,1541.0
52,25.0,3992.0
53,29.0,5422.0
54,544.0,83515.0
55,96.0,15681.0
56,21.0,3685.0
57,41.0,5996.0
58,19.0,2885.0
59,10.0,1979.0
60,46.0,10360.0
61,21.0,3435.0
62,37.0,6102.0
63,8.0,1270.0
64,12.0,2133.0
65,13.0,1950.0
66,12.0,1798.0
67,19.0,3107.0
68,119.0,22862.0
69,28.0,4248.0
70,29.0,8439.0
71,15.0,2753.0
73,22.0,4036.0
75,9.0,1286.0
77,531.0,96223.0
79,26.0,4067.0
81,15.0,2509.0
83,18.0,2176.0
85,37.0,7065.0
87,4.0,698.0
89,2.0,260.0
91,16.0,2519.0
93,10.0,1525.0
95,32.0,5549.0
97,46.0,8229.0
99,3.0,383.0
101,5.0,682.0
103,22.0,3146.0
104,32.0,5098.0
105,79.0,12658.0
106,161.0,31375.0
107,178.0,47843.0
108,184.0,45880.0
109,38.0,10564.0
110,52.0,11090.0
111,9.0,1437.0
112,54.0,9845.0
113,77.0,17487.0
114,281.0,51758.0
115,13.0,1853.0
116,502.0,84518.0
117,59.0,9167.0
118,54.0,8346.0
119,16.0,3233.0
120,146.0,42725.0
121,3.0,584.0
122,367.0,75612.0
123,17.0,3967.0
124,10.0,1439.0
125,12.0,1751.0
126,53.0,11693.0
127,11.0,2416.0
128,177.0,31124.0
129,2.0,383.0
130,80.0,16504.0
131,92.0,17255.0
132,22.0,5266.0
133,14.0,2199.0
134,190.0,31919.0
135,8.0,1384.0
136,44.0,8670.0
137,27.0,4689.0
138,28.0,6628.0
139,886.0,172350.0
140,43.0,8781.0
141,13.0,2169.0
142,74.0,14565.0
143,62.0,10139.0
144,51.0,8379.0
145,107.0,24079.0
146,155.0,32762.0
147,139.0,45467.0
148,84.0,16606.0
149,37.0,5277.0
150,71.0,14605.0
151,29.0,4313.0
152,210.0,63467.0
153,148.0,31803.0
154,59.0,8913.0
155,21.0,5601.0
156,16.0,2558.0
157,33.0,9181.0
158,11.0,1826.0
159,2.0,303.0
160,38.0,6769.0
161,40.0,6609.0
162,106.0,16635.0
163,17.0,3433.0
164,13.0,2484.0
166,81.0,15999.0
168,209.0,44761.0
170,156.0,40149.0
172,50.0,9822.0
174,143.0,24947.0
176,41.0,8107.0
178,26.0,3803.0
180,20.0,6147.0
182,38.0,7282.0
184,36.0,6072.0
186,61.0,12185.0
188,35.0,6092.0
190,107.0,20901.0
192,7.0,878.0
194,103.0,23834.0
196,89.0,15989.0
198,23.0,4884.0
200,6.0,1159.0
201,63.0,11901.0
202,358.0,69854.0
203,50.0,10601.0
204,245.0,45139.0
205,52.0,16443.0
206,35.0,7129.0
207,70.0,14518.0
208,239.0,46316.0
209,37.0,6906.0
210,139.0,26646.0
211,72.0,16809.0
212,13.0,2297.0
213,81.0,20874.0
214,43.0,9512.0
215,86.0,22210.0
216,189.0,45556.0
217,80.0,20246.0
218,109.0,20772.0
219,22.0,3924.0
220,22.0,3642.0
221,75.0,16314.0
222,20.0,3813.0
223,88.0,12604.0
224,16.0,2788.0
225,166.0,31978.0
226,33.0,5425.0
227,29.0,5175.0
228,26.0,5082.0
229,59.0,16575.0
230,34.0,5172.0
231,37.0,9099.0
232,93.0,21263.0
233,77.0,16101.0
234,10.0,1478.0
235,168.0,34758.0
236,49.0,10128.0
237,28.0,6836.0
238,62.0,12198.0
239,54.0,14497.0
240,19.0,3174.0
241,208.0,41543.0
242,2.0,493.0
243,41.0,7716.0
244,25.0,5388.0
245,17.0,3651.0
246,20.0,4346.0
247,9.0,2432.0
248,63.0,9862.0
249,41.0,11012.0
250,37.0,7239.0
251,142.0,30992.0
252,49.0,9290.0
253,367.0,68492.0
254,100.0,19424.0
255,4573.0,690209.0
256,25.0,4352.0
257,44.0,7376.0
258,106.0,15572.0
259,44.0,13600.0
260,56.0,14736.0
261,145.0,33478.0
262,583.0,118151.0
263,35.0,6257.0
264,17.0,3866.0
265,148.0,31475.0
266,20.0,3114.0
267,75.0,14793.0
268,14.0,2722.0
269,266.0,46242.0
270,15.0,2139.0
271,35.0,9721.0
272,20.0,3371.0
273,45.0,11032.0
274,7.0,1108.0
275,55.0,15883.0
276,8.0,1281.0
277,43.0,8920.0
278,14.0,1892.0
279,30.0,4248.0
280,52.0,8592.0
281,152.0,38226.0
282,28.0,5286.0
283,103.0,29083.0
284,16.0,2816.0
285,67.0,13335.0
286,7.0,937.0
287,70.0,18222.0
288,17.0,2183.0
289,21.0,4583.0
290,31.0,5114.0
291,17.0,2744.0
292,16.0,2811.0
293,23.0,6230.0
294,33.0,4955.0
295,113.0,27278.0
296,31.0,4556.0
297,33.0,7527.0
298,16.0,2315.0
299,34.0,5418.0
300,22.0,3295.0
301,867.0,132526.0
302,6.0,1104.0
303,95.0,20447.0
304,21.0,4096.0
305,58.0,9470.0
306,11.0,1410.0
307,69.0,18577.0
308,19.0,3419.0
309,175.0,31879.0
310,7.0,761.0
311,72.0,24895.0
312,13.0,2478.0
313,28.0,4426.0
314,12.0,2562.0
315,44.0,8244.0
316,4.0,1011.0
318,21.0,2693.0
320,42.0,8799.0
322,27.0,4203.0
324,6.0,954.0
326,4.0,602.0
328,21.0,3193.0
330,8.0,1188.0
332,22.0,4241.0
334,18.0,2556.0
336,9.0,1341.0
338,12.0,1654.0
340,11.0,1892.0
342,19.0,3550.0
344,38.0,8510.0
346,10.0,2279.0
348,13.0,2259.0
350,17.0,3060.0
352,16.0,2757.0
354,16.0,2530.0
356,15.0,2567.0
358,9.0,1683.0
360,4.0,515.0
362,20.0,2318.0
364,28.0,4758.0
366,33.0,4797.0
368,12.0,2038.0
369,46.0,7127.0
370,11.0,1971.0
371,68.0,11824.0
372,5.0,879.0
373,61.0,8978.0
374,12.0,1885.0
375,19.0,3288.0
376,39.0,5397.0
377,52.0,8691.0
378,3.0,430.0
379,31.0,6192.0
380,24.0,4932.0
381,39.0,7086.0
382,18.0,3150.0
383,144.0,26013.0
384,7.0,1536.0
385,23.0,4523.0
386,6.0,926.0
387,14.0,2810.0
388,28.0,6808.0
389,80.0,14936.0
390,3.0,353.0
391,46.0,12167.0
392,4.0,522.0
393,48.0,8099.0
394,10.0,1689.0
395,211.0,34108.0
396,10.0,1587.0
397,48.0,6331.0
398,16.0,2117.0
399,116.0,19998.0
400,14.0,2213.0
401,733.0,109732.0
402,11.0,1773.0
403,117.0,17530.0
404,6.0,1179.0
405,114.0,21557.0
406,21.0,3516.0
407,177.0,29206.0
408,8.0,1166.0
409,46.0,12347.0
410,8.0,983.0
411,494.0,83792.0
412,13.0,1839.0
413,190.0,54771.0
414,19.0,2726.0
415,1247.0,167959.0
416,11.0,1789.0
417,36.0,6735.0
418,24.0,4138.0
419,18.0,3203.0
420,7.0,1402.0
421,73.0,15179.0
422,32.0,5509.0
423,92.0,14802.0
424,36.0,5619.0
425,318.0,49706.0
426,20.0,3171.0
427,4516.0,659868.0
428,5.0,472.0
429,314.0,58265.0
430,14.0,2389.0
431,44.0,5923.0
432,9.0,1546.0
