date,municipio_ibge6,t_esquizofrenicos,t_psicoticos,t_depressao,t_ansiedade,t_estresse,t_comportamentais,abusos_substancias,total
2020-09-01,110001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,110002,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0
2020-09-01,110010,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-09-01,110011,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-09-01,110013,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-09-01,110020,17.0,4.0,9.0,0.0,0.0,1.0,7.0,38.0
2020-09-01,110030,2.0,0.0,22.0,0.0,0.0,0.0,1.0,25.0
2020-09-01,110032,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2020-09-01,110050,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-09-01,110080,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-09-01,120020,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2020-09-01,120033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,120035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,120070,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,130260,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-09-01,130340,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,150010,0.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0
2020-09-01,150034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,150080,2.0,14.0,0.0,0.0,0.0,0.0,2.0,18.0
2020-09-01,150140,10.0,41.0,2.0,0.0,0.0,0.0,2.0,55.0
2020-09-01,150157,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-09-01,150180,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-09-01,150304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
