date,municipio_ibge6,t_esquizofrenicos,t_psicoticos,t_depressao,t_ansiedade,t_estresse,t_comportamentais,abusos_substancias,total
2020-06-01,355580,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,355600,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,355610,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,355620,3.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0
2020-06-01,355640,3.0,1.0,1.0,0.0,0.0,0.0,11.0,16.0
2020-06-01,355645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,355650,4.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0
2020-06-01,355660,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,355700,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0
2020-06-01,355710,4.0,0.0,3.0,0.0,0.0,0.0,13.0,20.0
2020-06-01,355715,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,355730,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0
2020-06-01,410030,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2020-06-01,410040,4.0,9.0,0.0,0.0,0.0,0.0,15.0,28.0
2020-06-01,410045,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-06-01,410050,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0
2020-06-01,410060,1.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,410070,4.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,410115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410120,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0
2020-06-01,410130,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,410140,9.0,2.0,1.0,0.0,0.0,1.0,10.0,23.0
2020-06-01,410150,7.0,1.0,2.0,0.0,0.0,0.0,7.0,17.0
2020-06-01,410180,1.0,3.0,0.0,0.0,0.0,0.0,23.0,27.0
2020-06-01,410190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410200,2.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
2020-06-01,410210,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,410230,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410240,5.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0
2020-06-01,410280,2.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0
2020-06-01,410290,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0
2020-06-01,410320,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2020-06-01,410330,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410345,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
2020-06-01,410347,3.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0
2020-06-01,410350,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
2020-06-01,410360,3.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,410370,10.0,5.0,1.0,0.0,0.0,0.0,18.0,34.0
2020-06-01,410380,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,410390,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410400,1.0,8.0,0.0,0.0,0.0,0.0,13.0,22.0
2020-06-01,410420,2.0,4.0,0.0,0.0,0.0,0.0,22.0,28.0
2020-06-01,410425,1.0,6.0,1.0,0.0,0.0,0.0,13.0,21.0
2020-06-01,410430,1.0,0.0,1.0,0.0,0.0,0.0,18.0,20.0
2020-06-01,410440,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,410442,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,410460,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410465,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410470,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,410480,8.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0
2020-06-01,410490,1.0,0.0,2.0,0.0,0.0,0.0,16.0,19.0
2020-06-01,410500,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,410510,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
2020-06-01,410520,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0
2020-06-01,410540,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,410550,2.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0
2020-06-01,410570,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410580,1.0,12.0,3.0,0.0,0.0,0.0,19.0,35.0
2020-06-01,410590,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
2020-06-01,410610,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,410620,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
2020-06-01,410630,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,410640,3.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0
2020-06-01,410645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410650,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410690,42.0,21.0,12.0,1.0,0.0,0.0,74.0,150.0
2020-06-01,410700,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,410712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410725,4.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0
2020-06-01,410740,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410760,2.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0
2020-06-01,410765,0.0,6.0,0.0,0.0,0.0,0.0,28.0,34.0
2020-06-01,410775,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-06-01,410800,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
2020-06-01,410820,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410830,12.0,0.0,76.0,1.0,1.0,0.0,11.0,101.0
2020-06-01,410840,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,410855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,410860,5.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0
2020-06-01,410865,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,410870,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,410880,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,410900,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,410930,3.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,410940,3.0,2.0,1.0,0.0,0.0,0.0,22.0,28.0
2020-06-01,410960,1.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0
2020-06-01,410970,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,410980,2.0,5.0,2.0,0.0,0.0,0.0,10.0,19.0
2020-06-01,410990,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,411000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,411007,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411010,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,411020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411040,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,411060,4.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0
2020-06-01,411070,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,411080,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411095,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411100,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,411110,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411120,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,411125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411130,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411150,5.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0
2020-06-01,411180,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
2020-06-01,411190,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
2020-06-01,411200,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0
2020-06-01,411210,7.0,1.0,1.0,0.0,0.0,0.0,17.0,26.0
2020-06-01,411240,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,411250,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,411280,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411320,0.0,2.0,2.0,0.0,0.0,0.0,23.0,27.0
2020-06-01,411342,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,411345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411350,3.0,0.0,3.0,0.0,0.0,0.0,2.0,8.0
2020-06-01,411370,42.0,5.0,9.0,1.0,0.0,0.0,44.0,101.0
2020-06-01,411375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,411390,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,411400,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
2020-06-01,411410,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,411420,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,411430,2.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0
2020-06-01,411440,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,411450,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
2020-06-01,411460,2.0,0.0,2.0,0.0,0.0,0.0,6.0,10.0
2020-06-01,411470,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411490,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
2020-06-01,411500,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
2020-06-01,411510,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411520,20.0,10.0,10.0,0.0,0.0,0.0,24.0,64.0
2020-06-01,411560,1.0,2.0,1.0,0.0,0.0,0.0,4.0,8.0
2020-06-01,411575,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,411580,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
2020-06-01,411585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411590,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411610,2.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0
2020-06-01,411620,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0
2020-06-01,411690,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411710,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411720,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
2020-06-01,411722,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
2020-06-01,411727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411730,5.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0
2020-06-01,411750,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,411760,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,411770,2.0,4.0,0.0,0.0,0.0,0.0,3.0,9.0
2020-06-01,411790,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,411800,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411810,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411820,0.0,3.0,0.0,0.0,0.0,0.0,12.0,15.0
2020-06-01,411840,3.0,2.0,1.0,0.0,0.0,0.0,15.0,21.0
2020-06-01,411845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,411850,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0
2020-06-01,411860,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0
2020-06-01,411885,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,411910,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,411915,2.0,19.0,2.0,0.0,0.0,0.0,28.0,51.0
2020-06-01,411920,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411930,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,411940,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,411950,1.0,15.0,2.0,0.0,0.0,0.0,22.0,40.0
2020-06-01,411970,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,411990,13.0,4.0,1.0,0.0,0.0,0.0,28.0,46.0
2020-06-01,411995,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
2020-06-01,412000,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,412040,2.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
2020-06-01,412050,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412060,8.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0
2020-06-01,412065,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412080,1.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0
2020-06-01,412090,2.0,0.0,2.0,0.0,0.0,0.0,5.0,9.0
2020-06-01,412100,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,412150,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
2020-06-01,412170,5.0,0.0,3.0,0.0,1.0,0.0,14.0,23.0
2020-06-01,412180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412190,3.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
2020-06-01,412200,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
2020-06-01,412215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412220,0.0,2.0,2.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,412230,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412240,10.0,1.0,0.0,0.0,0.0,0.0,9.0,20.0
2020-06-01,412260,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412270,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412300,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,412320,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412330,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,412340,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,412350,3.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
2020-06-01,412380,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412385,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,412395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412405,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,412410,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,412440,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412450,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,412460,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412490,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,412500,3.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,412535,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,412540,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412550,3.0,14.0,3.0,0.0,0.0,0.0,22.0,42.0
2020-06-01,412560,1.0,2.0,2.0,0.0,0.0,0.0,6.0,11.0
2020-06-01,412570,3.0,0.0,3.0,1.0,0.0,0.0,2.0,9.0
2020-06-01,412580,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,412590,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-06-01,412600,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412625,10.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0
2020-06-01,412650,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,412680,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,412700,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412710,2.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0
2020-06-01,412730,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412740,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,412750,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,412760,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,412770,3.0,3.0,1.0,0.0,0.0,0.0,7.0,14.0
2020-06-01,412790,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,412810,28.0,3.0,12.0,0.0,0.0,0.0,15.0,58.0
2020-06-01,412820,5.0,5.0,3.0,0.0,0.0,0.0,25.0,38.0
2020-06-01,412840,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412850,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,412863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,412870,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420010,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,420040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420080,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420130,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420140,2.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0
2020-06-01,420160,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420170,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-06-01,420200,4.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
2020-06-01,420208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420210,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,420230,4.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0
2020-06-01,420240,1.0,10.0,19.0,0.0,0.0,0.0,4.0,34.0
2020-06-01,420280,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0
2020-06-01,420287,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-01,420290,1.0,1.0,6.0,1.0,0.0,0.0,6.0,15.0
2020-06-01,420300,2.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0
2020-06-01,420320,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-06-01,420340,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420350,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-06-01,420360,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2020-06-01,420380,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-06-01,420390,3.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0
2020-06-01,420395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
