date,municipio_ibge6,t_esquizofrenicos,t_psicoticos,t_depressao,t_ansiedade,t_estresse,t_comportamentais,abusos_substancias,total,t_esquizofrenicos_jovens,t_psicoticos_jovens,t_depressao_jovens,t_ansiedade_jovens,t_estresse_jovens,t_comportamentais_jovens,abusos_substancias_jovens,total_jovens
2019-09-01,110009,0.0,0.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2019-09-01,110010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,110020,16.0,3.0,1.0,0.0,0.0,0.0,6.0,26.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0
2019-09-01,110030,0.0,0.0,16.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,15.0
2019-09-01,110032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019-09-01,120017,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-09-01,120020,2.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0
2019-09-01,120040,11.0,15.0,16.0,0.0,0.0,0.0,17.0,59.0,2.0,5.0,11.0,0.0,0.0,0.0,4.0,22.0
2019-09-01,130014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,130070,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,130190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,130250,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019-09-01,130260,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019-09-01,130390,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,140010,8.0,2.0,3.0,0.0,0.0,0.0,3.0,16.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0
2019-09-01,150140,6.0,16.0,2.0,0.0,0.0,0.0,1.0,25.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0
2019-09-01,150180,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2019-09-01,150420,1.0,4.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0
2019-09-01,150550,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2019-09-01,150730,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019-09-01,150803,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
2019-09-01,150840,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2019-09-01,160020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019-09-01,160030,7.0,1.0,1.0,0.0,0.0,0.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-09-01,170030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
