id,dataReferencia,municipio,tipo,valor,quantidadeBeneficiados
19303950,2020-09-01,1718451,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",326937.0,664
22903932,2020-09-01,5106653,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1176911.0,2084
23203908,2020-09-01,5107065,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",3432393.0,5542
10103966,2020-09-01,1720002,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",353364.0,812
9504095,2020-09-01,5107198,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",419239.0,739
28703862,2020-09-01,1721257,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",222816.0,419
1903994,2020-09-01,2100154,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1890426.0,4752
14803986,2020-09-01,1200104,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",5573005.0,11544
11204076,2020-09-01,1200203,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",12792171.0,28785
27003973,2020-09-01,2100477,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",3368277.0,9112
2003979,2020-09-01,5107263,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",457152.0,861
21904078,2020-09-01,2101251,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",2933004.0,5616
12904002,2020-09-01,5106158,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",2270813.0,4344
20303924,2020-09-01,5108956,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1283991.0,2320
22804034,2020-09-01,2101731,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",751676.0,2261
5303985,2020-09-01,2101939,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",781239.0,2025
28604110,2020-09-01,5100359,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",985579.0,1870
19603931,2020-09-01,2102036,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",4053483.0,9256
20404096,2020-09-01,5103353,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",6668480.0,11687
26703873,2020-09-01,2102150,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1033707.0,3079
7303921,2020-09-01,5103957,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",441922.0,883
11503945,2020-09-01,2102358,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1598157.0,4496
5203951,2020-09-01,1200401,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",68307799.0,121765
3603966,2020-09-01,2102556,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1894191.0,3975
8303851,2020-09-01,5006002,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",3746719.0,6108
1903933,2020-09-01,2103125,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1152152.0,3191
103928,2020-09-01,1200609,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",4161685.0,12689
14304081,2020-09-01,2103174,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1736059.0,5330
27703993,2020-09-01,1200450,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",3542631.0,7967
1004056,2020-09-01,2103752,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",2368698.0,4627
15004076,2020-09-01,1200344,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1309951.0,3629
9503938,2020-09-01,1200054,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",2166583.0,4615
16804206,2020-09-01,2104081,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1194000.0,3737
26803955,2020-09-01,2104552,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",3113504.0,6153
23504130,2020-09-01,5005251,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",842943.0,1543
10103941,2020-09-01,2104651,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",958368.0,3030
25404037,2020-09-01,2105153,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1669579.0,4141
25104068,2020-09-01,1703826,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",300051.0,701
20803994,2020-09-01,2105351,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1393941.0,4298
12904117,2020-09-01,2105450,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1038458.0,3109
22704022,2020-09-01,2105658,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",755233.0,1918
16404070,2020-09-01,1712801,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",549372.0,1256
27103895,2020-09-01,2105948,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1336385.0,3241
18203928,2020-09-01,1716307,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",730253.0,1501
4504073,2020-09-01,2106359,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",872406.0,2669
19503982,2020-09-01,1718865,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1264590.0,2276
21104057,2020-09-01,2106631,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1055803.0,2927
14403941,2020-09-01,2107258,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",610136.0,1798
23004030,2020-09-01,1300102,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1757919.0,5150
304034,2020-09-01,2107456,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1689770.0,4839
15504108,2020-09-01,1300201,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",1282951.0,3290
9903939,2020-09-01,1300300,"{'id': 6, 'descricao': 'Auxílio Emergencial', 'descricaoDetalhada': 'Auxílio Emergencial'}",5963709.0,15787
